component,levels,mean,sem,delta_final,effect_size,spearman_rho,spearman_p,direction,linear_r2,saturating_r2,saturating_K,responsive,experiment
20,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.0287336182000454, 0.016572018824637085, 0.01917285555362753, 0.012149670356457455, 0.013249123805474994, 0.011521947844909416, 0.0081526782149954, 0.010131659780200428, 0.008182616779234268, 0.006326714742526627, 0.00796816593575314, 0.008045895800610698, 0.006794216433163151, 0.007260269162352039]","[0.004800945749492722, 0.0038071700015530046, 0.004218760351828521, 0.003719073763445789, 0.004100708709269763, 0.003939433361751574, 0.0030368923631059596, 0.0037384627395948633, 0.003852137854253588, 0.002880594561949797, 0.002382588200286617, 0.0030310545793166095, 0.0025516336222839845, 0.003239132344892303]",-0.02147334903769336,-6.098081347005408,-0.9252747252747253,2.136570349610813e-06,down,0.6543364711034572,0.9568119929035754,0.262893777837858,True,adenine::cAg@532nm
21,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.03000341231040762, 0.028150147522398868, 0.02207751216465699, 0.023523918756049977, 0.014953579265777697, 0.01004251468849284, 0.013641937387796057, 0.013633865929702643, 0.009672071595259462, 0.007615848391280695, 0.007318440551265749, 0.006686593591953217, 0.004591280965739571, 0.006422017520523583]","[0.008240687105269817, 0.006259572237118947, 0.00540205168794709, 0.005917144804032474, 0.004514175972795464, 0.0031904420726559567, 0.005655197723325276, 0.004629097692449584, 0.0030337116486923344, 0.0025603364356117132, 0.001682950479120068, 0.0032750499838245, 0.0016892590902135307, 0.002802872157351533]",-0.02358139478988404,-5.609603213902882,-0.9780219780219781,1.551963299118766e-09,down,0.8227091390254313,0.9136525606344332,0.9630567087777583,True,adenine::cAg@532nm
22,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.08925586047580227, 0.0646806281337632, 0.05768976944485656, 0.05325076743697484, 0.03390254002859511, 0.039641988487110855, 0.03479309142695298, 0.02395518619016955, 0.027998830869623546, 0.024477688052121013, 0.036055325685126156, 0.032881106332652864, 0.03534800080570723, 0.014458308653460511]","[0.01220517857177906, 0.009969434971022146, 0.008522038955285131, 0.010646673834187565, 0.007543809626244661, 0.009171360100295133, 0.007148994349654172, 0.007764230699037073, 0.008888216588672901, 0.007703999107838574, 0.0073852657331033794, 0.011249588097253646, 0.01089524488763926, 0.007323410710941439]",-0.07479755182234175,-8.283394742966149,-0.745054945054945,0.002230037316742074,down,0.6190516719828167,0.8946584876833183,0.3202214079657387,True,adenine::cAg@532nm
23,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.05419874802797483, 0.05292967610769858, 0.046491668116414336, 0.03543195863999184, 0.028372897683728377, 0.02683255177128991, 0.0257305448823428, 0.017648461608467152, 0.011679071011283794, 0.015193102138908085, 0.013297110511787592, 0.012601499872155657, 0.01611419764931202, 0.01347880267097766]","[0.00757409240088871, 0.009722746565153647, 0.007725643128751381, 0.007004860066224602, 0.004209978145670322, 0.004295934316741001, 0.0035098871223434715, 0.004825176882254518, 0.0036774002995237287, 0.003949680702149059, 0.0025456540683885904, 0.0035714638781058636, 0.004303273299195251, 0.003421714804923771]",-0.04071994535699717,-8.104909550251234,-0.8857142857142857,2.5040044989174716e-05,down,0.7882094431474752,0.9282105717519993,0.804693999314294,True,adenine::cAg@532nm
0,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.030752976177744643, 0.03888182528853215, 0.049229155602991403, 0.05410621621897205, 0.06112914016522112, 0.06118573984010323, 0.0638774237516566, 0.06847940877740064, 0.07018696973671217, 0.0684085189251527, 0.07003733946586677, 0.07160794691055289, 0.07064275063524286, 0.07039618338317992]","[0.008022470642895322, 0.006296607000601373, 0.007303281068648869, 0.006009205020969793, 0.005697065151283927, 0.005198470862947007, 0.004567398294162469, 0.004708416015161361, 0.004956537904371857, 0.003543850071063557, 0.0032423764029944537, 0.004513510456372411, 0.0038426520762182767, 0.0042239507149590405]",0.03964320720543528,7.6949559956125855,0.9604395604395607,5.08105389232908e-08,up,0.7458108593446051,0.9637219306834638,0.46994279185173277,True,adenine::cAg@785nm
1,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.039221609934335676, 0.03235976605301754, 0.036122457630325656, 0.04421401670990821, 0.0556403445566666, 0.04822984599149865, 0.053318496424844465, 0.05790409156498461, 0.0525816044432203, 0.0527090320387357, 0.05554071369152654, 0.053833374297804236, 0.05798838547526194, 0.0536478614755539]","[0.011040557926910494, 0.006225613922008453, 0.004799101934027996, 0.004444053427367237, 0.005668234638915706, 0.004869016560630139, 0.005118928847207269, 0.005935012127066651, 0.0040037316405303475, 0.0038056189976761697, 0.0035826563782531944, 0.00428571558116412, 0.005422145983522875, 0.0046500242198047595]",0.014426251541218224,2.7348186328793838,0.7142857142857143,0.004104409161880231,up,0.6117573360247865,0.7364658428532928,0.8444031502538045,True,adenine::cAg@785nm
2,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.0089915971388411, 0.005651799512304358, 0.0018627560232606002, 0.00019233685590072083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0027532494404405956, 0.0020612378129367796, 0.0007160933889810754, 0.00017116407458179125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0089915971388411,-22.0778125124397,-0.7983499466791725,0.0006189205605630886,down,0.40270653691370095,0.8859730087759883,0.14319004470972424,True,adenine::cAg@785nm
3,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.04502312133253697, 0.09878629422947922, 0.1243948376978329, 0.14656981370635438, 0.19268294229028093, 0.19024703200337215, 0.21242735270186838, 0.2294029576391965, 0.24969845311597508, 0.2564289922158019, 0.2615987764664402, 0.27298366332618945, 0.28015344923240043, 0.29744616127496376]","[0.0047147532316938025, 0.006472821544216176, 0.006107174256624132, 0.009024462107855832, 0.008223678595812682, 0.010951723286585209, 0.008210141386613024, 0.012291012838724363, 0.01017388344411772, 0.014043766017088944, 0.009899030072838044, 0.014183742269758694, 0.00982755807389767, 0.010586276876959918]",0.25242303994242676,26.233550309895115,0.9956043956043955,1.0315953358848784e-13,up,0.9005221833986755,0.9917526131774443,0.9443751603157922,True,adenine::cAg@785nm
4,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.01700182855873172, 0.009959772323819317, 0.008463509773552837, 0.004171996732183609, 0.001948724615866096, 0.002580868913158704, 0.0009191338322511251, 0.00018647523729033332, 7.73926329136375e-05, 0.00015731259450939584, 0.0005250882860203437, 0.00027272344865274164, 0.0, 0.0008348324237051458]","[0.0032623791229077718, 0.0019162888399004879, 0.0017515566730648081, 0.0012808665925897438, 0.0006682598665693041, 0.0009680521021996289, 0.0004832526271023259, 9.740889631287291e-05, 3.806380603845896e-05, 0.00011762397449698012, 0.000493541192275308, 0.00023811249281859543, 0.0, 0.0008172550356833842]",-0.016166996135026576,-18.65523816880132,-0.832967032967033,0.00021655091041647006,down,0.596492842396745,0.9686107707523486,0.25306041031763576,True,adenine::cAg@785nm
5,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.03583507799407757, 0.028877740672388352, 0.026856369683523628, 0.024595639952305504, 0.01870640112464719, 0.01856195469559701, 0.013482526468474887, 0.013004439939492173, 0.011271871568180755, 0.011349507242510035, 0.010440933846634566, 0.009098271055096217, 0.008303581567672646, 0.0049008465283908245]","[0.0032789791030303187, 0.002742358617267945, 0.0025891254088409002, 0.002789288769542178, 0.002004179744332818, 0.0022664730502186046, 0.001769057623970634, 0.002283237651390763, 0.001672099710882324, 0.0019545515895576736, 0.0011689533432656537, 0.0017887815322622572, 0.0014157516477245127, 0.000999625003701548]",-0.030934231465686746,-15.078060419222123,-0.9956043956043955,1.0315953358848784e-13,down,0.8849963394406564,0.98290899055351,0.90571604178715,True,adenine::cAg@785nm
