perturbation,level,representation,class_top1,class_top3,vector_cosine,rank_stability,mean_confidence,ece
intensity_scaling,0.5,legacy_theme_bsv,0.49066666666666664,0.7973333333333333,,,,
intensity_scaling,0.5,legacy_11_axis,0.664,0.8533333333333334,,,,
intensity_scaling,1.0,raw_spectrum,0.592,0.7653333333333333,,,,
intensity_scaling,1.0,csm_49,0.8453333333333334,0.9706666666666667,,,,
intensity_scaling,1.0,chemistry_evidence_16,0.8506666666666667,0.976,0.9732122571108833,0.9733333333333334,0.7694556583153287,0.08513185419642923
intensity_scaling,1.0,legacy_theme_bsv,0.49066666666666664,0.7973333333333333,,,,
intensity_scaling,1.0,legacy_11_axis,0.664,0.8533333333333334,,,,
intensity_scaling,2.0,raw_spectrum,0.592,0.7653333333333333,,,,
intensity_scaling,2.0,csm_49,0.8453333333333334,0.9706666666666667,,,,
intensity_scaling,2.0,chemistry_evidence_16,0.8506666666666667,0.976,0.9732122571108833,0.9733333333333334,0.7694556583153287,0.08513185419642923
intensity_scaling,2.0,legacy_theme_bsv,0.49066666666666664,0.7973333333333333,,,,
intensity_scaling,2.0,legacy_11_axis,0.664,0.8533333333333334,,,,
peak_dropout,0.05,raw_spectrum,0.5866666666666667,0.7573333333333333,,,,
peak_dropout,0.05,csm_49,0.8506666666666667,0.968,,,,
peak_dropout,0.05,chemistry_evidence_16,0.8506666666666667,0.9706666666666667,0.9698391499059847,0.9733333333333334,0.762342062216722,0.08832460444994476
peak_dropout,0.05,legacy_theme_bsv,0.488,0.7973333333333333,,,,
peak_dropout,0.05,legacy_11_axis,0.6586666666666666,0.84,,,,
peak_dropout,0.1,raw_spectrum,0.584,0.76,,,,
peak_dropout,0.1,csm_49,0.8373333333333334,0.9626666666666667,,,,
peak_dropout,0.1,chemistry_evidence_16,0.84,0.968,0.967864156656837,0.9493333333333334,0.7621859562371889,0.07781404376281101
peak_dropout,0.1,legacy_theme_bsv,0.49066666666666664,0.8133333333333334,,,,
peak_dropout,0.1,legacy_11_axis,0.6533333333333333,0.8373333333333334,,,,
peak_dropout,0.2,raw_spectrum,0.5626666666666666,0.7706666666666667,,,,
peak_dropout,0.2,csm_49,0.8266666666666667,0.9706666666666667,,,,
peak_dropout,0.2,chemistry_evidence_16,0.824,0.976,0.9656911319771916,0.936,0.7551645844922662,0.07667510453859147
peak_dropout,0.2,legacy_theme_bsv,0.45866666666666667,0.7893333333333333,,,,
peak_dropout,0.2,legacy_11_axis,0.6613333333333333,0.8533333333333334,,,,
peak_dropout,0.4,raw_spectrum,0.552,0.7626666666666667,,,,
peak_dropout,0.4,csm_49,0.816,0.9573333333333334,,,,
peak_dropout,0.4,chemistry_evidence_16,0.7893333333333333,0.96,0.9499110052663208,0.8853333333333333,0.7335811105620702,0.07998787801961223
peak_dropout,0.4,legacy_theme_bsv,0.5066666666666667,0.7946666666666666,,,,
peak_dropout,0.4,legacy_11_axis,0.648,0.8426666666666667,,,,
peak_dropout,0.6,raw_spectrum,0.5333333333333333,0.76,,,,
peak_dropout,0.6,csm_49,0.7973333333333333,0.9573333333333334,,,,
peak_dropout,0.6,chemistry_evidence_16,0.7786666666666666,0.9626666666666667,0.9403683525318902,0.8693333333333333,0.7232660501063277,0.06086592418326179
peak_dropout,0.6,legacy_theme_bsv,0.45066666666666666,0.7786666666666666,,,,
peak_dropout,0.6,legacy_11_axis,0.6213333333333333,0.816,,,,
cosmic_spikes,1.0,raw_spectrum,0.608,0.744,,,,
cosmic_spikes,1.0,csm_49,0.8346666666666667,0.96,,,,
cosmic_spikes,1.0,chemistry_evidence_16,0.8506666666666667,0.9653333333333334,0.9604790472243026,0.936,0.7470239573436108,0.10364270932305594
cosmic_spikes,1.0,legacy_theme_bsv,0.48,0.7973333333333333,,,,
cosmic_spikes,1.0,legacy_11_axis,0.656,0.8346666666666667,,,,
cosmic_spikes,2.0,raw_spectrum,0.5626666666666666,0.768,,,,
cosmic_spikes,2.0,csm_49,0.8293333333333334,0.9573333333333334,,,,
cosmic_spikes,2.0,chemistry_evidence_16,0.8186666666666667,0.9626666666666667,0.9504477335747372,0.92,0.7311014590907217,0.08914655882360156
cosmic_spikes,2.0,legacy_theme_bsv,0.424,0.7653333333333333,,,,
cosmic_spikes,2.0,legacy_11_axis,0.6053333333333333,0.8346666666666667,,,,
cosmic_spikes,4.0,raw_spectrum,0.5493333333333333,0.7546666666666667,,,,
cosmic_spikes,4.0,csm_49,0.792,0.9466666666666667,,,,
cosmic_spikes,4.0,chemistry_evidence_16,0.7733333333333333,0.952,0.9312647492423711,0.8506666666666667,0.7130827106079624,0.06182732296520182
cosmic_spikes,4.0,legacy_theme_bsv,0.4,0.768,,,,
cosmic_spikes,4.0,legacy_11_axis,0.5893333333333334,0.832,,,,
cosmic_spikes,8.0,raw_spectrum,0.5253333333333333,0.7493333333333333,,,,
cosmic_spikes,8.0,csm_49,0.784,0.936,,,,
cosmic_spikes,8.0,chemistry_evidence_16,0.7733333333333333,0.9386666666666666,0.9035239428618446,0.8453333333333334,0.6726805620561663,0.10443721228002767
cosmic_spikes,8.0,legacy_theme_bsv,0.3466666666666667,0.6906666666666667,,,,
cosmic_spikes,8.0,legacy_11_axis,0.5493333333333333,0.8026666666666666,,,,
cosmic_spikes,16.0,raw_spectrum,0.44266666666666665,0.656,,,,
cosmic_spikes,16.0,csm_49,0.72,0.9093333333333333,,,,
cosmic_spikes,16.0,chemistry_evidence_16,0.64,0.8906666666666667,0.8367743572128123,0.7013333333333334,0.5929161580818705,0.05734399036354598
cosmic_spikes,16.0,legacy_theme_bsv,0.2986666666666667,0.6213333333333333,,,,
cosmic_spikes,16.0,legacy_11_axis,0.456,0.7253333333333334,,,,
combined,0.25,raw_spectrum,0.5466666666666666,0.7386666666666667,,,,
combined,0.25,csm_49,0.848,0.9733333333333334,,,,
combined,0.25,chemistry_evidence_16,0.8373333333333334,0.976,0.9682520008481553,0.952,0.745297871245151,0.0945922328668642
combined,0.25,legacy_theme_bsv,0.464,0.784,,,,
combined,0.25,legacy_11_axis,0.6453333333333333,0.832,,,,
combined,0.5,raw_spectrum,0.5093333333333333,0.7226666666666667,,,,
combined,0.5,csm_49,0.84,0.9626666666666667,,,,
combined,0.5,chemistry_evidence_16,0.8213333333333334,0.9706666666666667,0.955737625111901,0.9146666666666666,0.7159228036517916,0.11379125361659237
combined,0.5,legacy_theme_bsv,0.4533333333333333,0.768,,,,
combined,0.5,legacy_11_axis,0.6186666666666667,0.824,,,,
combined,1.0,raw_spectrum,0.44,0.648,,,,
combined,1.0,csm_49,0.7946666666666666,0.9493333333333334,,,,
combined,1.0,chemistry_evidence_16,0.752,0.936,0.9130126263068897,0.8346666666666667,0.6473517585205765,0.10464824147942346
combined,1.0,legacy_theme_bsv,0.352,0.6613333333333333,,,,
combined,1.0,legacy_11_axis,0.544,0.7946666666666666,,,,
combined,1.5,raw_spectrum,0.3546666666666667,0.5706666666666667,,,,
combined,1.5,csm_49,0.7493333333333333,0.912,,,,
combined,1.5,chemistry_evidence_16,0.6533333333333333,0.9146666666666666,0.8519509386894194,0.7333333333333333,0.5702869144854973,0.08304641884783609
combined,1.5,legacy_theme_bsv,0.25333333333333335,0.5653333333333334,,,,
combined,1.5,legacy_11_axis,0.4533333333333333,0.7413333333333333,,,,
combined,2.0,raw_spectrum,0.2986666666666667,0.5093333333333333,,,,
combined,2.0,csm_49,0.648,0.864,,,,
combined,2.0,chemistry_evidence_16,0.536,0.8586666666666667,0.7819403456745576,0.6026666666666667,0.5081576148996654,0.0553365943880874
combined,2.0,legacy_theme_bsv,0.216,0.472,,,,
combined,2.0,legacy_11_axis,0.38133333333333336,0.6693333333333333,,,,
