analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence
phosphate,0.7496632887590781,8,"[14, 21, 16]","[0.5754, 0.1014, 0.0728]",0.5560510898524528,0.10857513595676827,"['succinic acid', 'aspartic acid', 'asparagine']","[0.8914, 0.8505, 0.6273]",low
phosphatidylinositol,0.32827570594389244,14,"[19, 4, 14]","[0.1597, 0.0852, 0.0833]",0.8878434239998407,0.19269696470167808,"['hypoxanthine', '(+)-fucose', 'tubulin']","[0.8073, 0.7276, 0.696]",moderate
phosphoenolpyruvate,0.5917134235569189,13,"[23, 21, 13]","[0.4351, 0.0858, 0.0709]",0.7293672679779531,0.11495571961964712,"['pyruvate', 'a-dna', 'citrate']","[0.885, 0.7557, 0.7311]",low
proline,0.6031497886862364,10,"[10, 9, 17]","[0.2767, 0.2504, 0.076]",0.7603703616170174,0.33263909856270124,"['(-)-arabinose', '(+)-xylose', 'glycine']","[0.6674, 0.644, 0.6369]",moderate
pyruvate,0.56874677588118,10,"[23, 22, 1]","[0.3377, 0.1625, 0.0685]",0.7903710801469133,0.11495571961964712,"['phosphoenolpyruvate', 'citrate', 'malic acid']","[0.885, 0.7314, 0.7061]",low
riboflavin,0.6312173311694497,8,"[0, 19, 17]","[0.3879, 0.1327, 0.1107]",0.7468235809447877,0.05013067122713488,"['riboﬂavin', 'b-dna', 'a-dna']","[0.9499, 0.5306, 0.4226]",low
riboﬂavin,0.7579908048618257,6,"[0, 17, 19]","[0.3869, 0.2271, 0.144]",0.6794984888229059,0.05013067122713488,"['riboflavin', 'b-dna', 't-rna']","[0.9499, 0.5567, 0.5178]",low
serine,0.6608082943193347,10,"[11, 21, 6]","[0.4457, 0.138, 0.0771]",0.6636958070845191,0.07735387502893343,"['hydroxyproline', 'alanine', '(+)-arabinose']","[0.9226, 0.848, 0.7005]",low
sphingomyelin,0.7998167960832191,5,"[1, 16, 22]","[0.3858, 0.3073, 0.1068]",0.7082008102202902,0.021651391397438546,"['tripetroselinin', 'stearate', 'ceramide']","[0.9783, 0.9752, 0.9734]",low
stearate,0.8789613910318297,4,"[1, 16, 22]","[0.3879, 0.3867, 0.1044]",0.5289391056464042,0.019107161133749995,"['trimyristin', 'tripalmitin', 'triarachidin']","[0.9809, 0.9802, 0.98]",low
succinic acid,0.839224539987576,4,"[14, 22, 19]","[0.5197, 0.1755, 0.1439]",0.6864842438776916,0.10857513595676827,"['phosphate', 'aspartic acid', 'asparagine']","[0.8914, 0.8884, 0.7902]",low
superoxide dismutases,0.637374098952802,11,"[2, 7, 6]","[0.4294, 0.1061, 0.1019]",0.701341358292443,0.023448400661054025,"['ubiquitin', 'thaumatin', 'trypsin']","[0.9766, 0.976, 0.9684]",low
t-rna,0.5878885078726598,11,"[17, 23, 3]","[0.2802, 0.1855, 0.1222]",0.8414874154641144,0.1020005058090665,"['a-dna', 'cytosine', 'b-dna']","[0.898, 0.8426, 0.8323]",low
thaumatin,0.6036256166207552,11,"[2, 6, 7]","[0.3772, 0.1417, 0.0848]",0.7285650441811025,0.018552139597328487,"['pepsinogen', 'lectin', 'superoxide dismutases']","[0.9814, 0.9814, 0.976]",low
thymine,0.928514301510058,3,"[13, 20, 2]","[0.8585, 0.0411, 0.0289]",0.2968763109316419,0.49890107356569746,"['cytochrome c', 'b-dna', 'hemoglobin']","[0.5011, 0.4096, 0.4007]",high
tri-11-eicosenoin,0.7401083321034267,7,"[1, 7, 11]","[0.5572, 0.1218, 0.0612]",0.5801089192481171,0.007633270246782176,"['vaccenic acid', 'tripalmitolein', 'triolein']","[0.9924, 0.9889, 0.988]",low
triarachidin,0.9780134281283653,2,"[16, 1, 2]","[0.4931, 0.4542, 0.0307]",0.47126155083214294,0.00038128617454735725,"['tristearin', 'tripalmitin', 'tribehenin']","[0.9996, 0.9995, 0.9995]",low
tribehenin,0.9631027458243331,2,"[16, 1, 2]","[0.4991, 0.4329, 0.0311]",0.4751463494540911,0.0002375791029163299,"['tristearin', 'triarachidin', 'tripalmitin']","[0.9998, 0.9995, 0.9993]",low
tricaprin,0.8807375304307402,4,"[1, 16, 9]","[0.4708, 0.3631, 0.0468]",0.5117862335807695,0.00859128457720848,"['trilaurin', 'trimyristin', '15-methylpalmiticacid']","[0.9914, 0.9885, 0.9879]",low
tricaproin,0.7363894647829494,7,"[1, 11, 10]","[0.5542, 0.1022, 0.08]",0.6309606408164075,0.007807768809375504,"['tricaprylin', 'tri-11-eicosenoin', 'triolein']","[0.9922, 0.9615, 0.9487]",low
tricaprylin,0.6718841006011268,9,"[1, 10, 11]","[0.5581, 0.0583, 0.0555]",0.616981796508447,0.007807768809375504,"['tricaproin', 'tri-11-eicosenoin', 'triolein']","[0.9922, 0.969, 0.9567]",low
trielaidin,0.854597700408298,4,"[1, 16, 13]","[0.494, 0.2426, 0.118]",0.704318004042367,0.031625198149692224,"['trierucin', '13-methylmyristicacid', '12-methyltetradecanoic acid']","[0.9684, 0.9549, 0.9498]",low
trierucin,0.9130538670517744,3,"[1, 16, 7]","[0.5404, 0.2899, 0.0827]",0.5292228009759078,0.018389286745037925,"['12-methyltetradecanoic acid', 'tripetroselinin', 'tricaprin']","[0.9816, 0.9809, 0.9728]",low
trilaurin,0.9156396187215992,3,"[1, 16, 9]","[0.4419, 0.4381, 0.0357]",0.4857441461461887,0.000803320606882707,"['trimyristin', 'tripalmitin', 'triarachidin']","[0.9992, 0.997, 0.9967]",low
