analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence,nn1,nn1_sim,nn_relation
palmitic acid,0.9087614872624415,3,"[16, 1, 22]","[0.5122, 0.2671, 0.1295]",0.5346839587140164,0.006977075667485,"['arachidic acid', 'myristic acid', 'lauric acid']","[0.993, 0.981, 0.9619]",low,arachidic acid,0.993,homolog
palmitoleic acid,0.7881132909377936,6,"[1, 7, 10]","[0.4934, 0.2466, 0.0481]",0.6557908424096363,0.0150738810405371,"['tripalmitolein', 'oleate', 'vaccenic acid']","[0.9849, 0.9839, 0.9819]",low,tripalmitolein,0.9849,same_class
papain,0.5516795770678506,10,"[2, 22, 14]","[0.2554, 0.166, 0.1303]",0.8224112643181789,0.0959289927611757,"['triosephosphate isomerase', 'lactalbumin', 'glutathione transferase']","[0.9041, 0.8888, 0.8804]",low,triosephosphate isomerase,0.9041,family
pepsin,0.507436364665814,13,"[2, 22, 1]","[0.2992, 0.1098, 0.0985]",0.8002146397841778,0.0374790844037676,"['elastase', 'trypsin', 'lactalbumin']","[0.9625, 0.9475, 0.9461]",low,elastase,0.9625,family
pepsinogen,0.5886828285299976,11,"[2, 6, 22]","[0.3572, 0.1418, 0.0896]",0.7680002885899876,0.0156643698431564,"['lectin', 'thaumatin', 'carbonic anhydrase']","[0.9843, 0.9814, 0.9733]",low,lectin,0.9843,family
phenylalanine,0.7325328617449418,6,"[6, 20, 5]","[0.4806, 0.1382, 0.1137]",0.6269662717608608,0.1109972852707584,"['urea', 'ure', 'β-carotene']","[0.889, 0.8844, 0.5845]",low,urea,0.889,distinct
phosphate,0.7496632887590781,8,"[14, 21, 16]","[0.5754, 0.1014, 0.0728]",0.5560510898524528,0.1085751359567682,"['succinic acid', 'aspartic acid', 'asparagine']","[0.8914, 0.8505, 0.6273]",low,succinic acid,0.8914,family
phosphatidylinositol,0.3282757059438924,14,"[19, 4, 14]","[0.1597, 0.0852, 0.0833]",0.8878434239998407,0.192696964701678,"['hypoxanthine', '(+)-fucose', 'tubulin']","[0.8073, 0.7276, 0.696]",moderate,hypoxanthine,0.8073,distinct
phosphoenolpyruvate,0.5917134235569189,13,"[23, 21, 13]","[0.4351, 0.0858, 0.0709]",0.7293672679779531,0.1149557196196471,"['pyruvate', 'a-dna', 'citrate']","[0.885, 0.7557, 0.7311]",low,pyruvate,0.885,family
proline,0.6031497886862364,10,"[10, 9, 17]","[0.2767, 0.2504, 0.076]",0.7603703616170174,0.3326390985627012,"['(-)-arabinose', '(+)-xylose', 'glycine']","[0.6674, 0.644, 0.6369]",moderate,(-)-arabinose,0.6674,distinct
pyruvate,0.56874677588118,10,"[23, 22, 1]","[0.3377, 0.1625, 0.0685]",0.7903710801469133,0.1149557196196471,"['phosphoenolpyruvate', 'citrate', 'malic acid']","[0.885, 0.7314, 0.7061]",low,phosphoenolpyruvate,0.885,family
riboflavin,0.6312173311694497,8,"[0, 19, 17]","[0.3879, 0.1327, 0.1107]",0.7468235809447877,0.0501306712271348,"['riboﬂavin', 'b-dna', 'a-dna']","[0.9499, 0.5306, 0.4226]",low,riboﬂavin,0.9499,duplicate
riboﬂavin,0.7579908048618257,6,"[0, 17, 19]","[0.3869, 0.2271, 0.144]",0.6794984888229059,0.0501306712271348,"['riboflavin', 'b-dna', 't-rna']","[0.9499, 0.5567, 0.5178]",low,riboflavin,0.9499,duplicate
serine,0.6608082943193347,10,"[11, 21, 6]","[0.4457, 0.138, 0.0771]",0.6636958070845191,0.0773538750289334,"['hydroxyproline', 'alanine', '(+)-arabinose']","[0.9226, 0.848, 0.7005]",low,hydroxyproline,0.9226,homolog
sphingomyelin,0.7998167960832191,5,"[1, 16, 22]","[0.3858, 0.3073, 0.1068]",0.7082008102202902,0.0216513913974385,"['tripetroselinin', 'stearate', 'ceramide']","[0.9783, 0.9752, 0.9734]",low,tripetroselinin,0.9783,same_class
stearate,0.8789613910318297,4,"[1, 16, 22]","[0.3879, 0.3867, 0.1044]",0.5289391056464042,0.0191071611337499,"['trimyristin', 'tripalmitin', 'triarachidin']","[0.9809, 0.9802, 0.98]",low,trimyristin,0.9809,same_class
succinic acid,0.839224539987576,4,"[14, 22, 19]","[0.5197, 0.1755, 0.1439]",0.6864842438776916,0.1085751359567682,"['phosphate', 'aspartic acid', 'asparagine']","[0.8914, 0.8884, 0.7902]",low,phosphate,0.8914,family
superoxide dismutases,0.637374098952802,11,"[2, 7, 6]","[0.4294, 0.1061, 0.1019]",0.701341358292443,0.023448400661054,"['ubiquitin', 'thaumatin', 'trypsin']","[0.9766, 0.976, 0.9684]",low,ubiquitin,0.9766,family
t-rna,0.5878885078726598,11,"[17, 23, 3]","[0.2802, 0.1855, 0.1222]",0.8414874154641144,0.1020005058090665,"['a-dna', 'cytosine', 'b-dna']","[0.898, 0.8426, 0.8323]",low,a-dna,0.898,family
thaumatin,0.6036256166207552,11,"[2, 6, 7]","[0.3772, 0.1417, 0.0848]",0.7285650441811025,0.0185521395973284,"['pepsinogen', 'lectin', 'superoxide dismutases']","[0.9814, 0.9814, 0.976]",low,pepsinogen,0.9814,family
thymine,0.928514301510058,3,"[13, 20, 2]","[0.8585, 0.0411, 0.0289]",0.2968763109316419,0.4989010735656974,"['cytochrome c', 'b-dna', 'hemoglobin']","[0.5011, 0.4096, 0.4007]",high,cytochrome c,0.5011,distinct
tri-11-eicosenoin,0.7401083321034267,7,"[1, 7, 11]","[0.5572, 0.1218, 0.0612]",0.5801089192481171,0.0076332702467821,"['vaccenic acid', 'tripalmitolein', 'triolein']","[0.9924, 0.9889, 0.988]",low,vaccenic acid,0.9924,same_class
triarachidin,0.9780134281283652,2,"[16, 1, 2]","[0.4931, 0.4542, 0.0307]",0.4712615508321429,0.0003812861745473,"['tristearin', 'tripalmitin', 'tribehenin']","[0.9996, 0.9995, 0.9995]",low,tristearin,0.9996,homolog
tribehenin,0.9631027458243332,2,"[16, 1, 2]","[0.4991, 0.4329, 0.0311]",0.4751463494540911,0.0002375791029163,"['tristearin', 'triarachidin', 'tripalmitin']","[0.9998, 0.9995, 0.9993]",low,tristearin,0.9998,homolog
tricaprin,0.8807375304307402,4,"[1, 16, 9]","[0.4708, 0.3631, 0.0468]",0.5117862335807695,0.0085912845772084,"['trilaurin', 'trimyristin', '15-methylpalmiticacid']","[0.9914, 0.9885, 0.9879]",low,trilaurin,0.9914,homolog
tricaproin,0.7363894647829494,7,"[1, 11, 10]","[0.5542, 0.1022, 0.08]",0.6309606408164075,0.0078077688093755,"['tricaprylin', 'tri-11-eicosenoin', 'triolein']","[0.9922, 0.9615, 0.9487]",low,tricaprylin,0.9922,homolog
tricaprylin,0.6718841006011268,9,"[1, 10, 11]","[0.5581, 0.0583, 0.0555]",0.616981796508447,0.0078077688093755,"['tricaproin', 'tri-11-eicosenoin', 'triolein']","[0.9922, 0.969, 0.9567]",low,tricaproin,0.9922,homolog
trielaidin,0.854597700408298,4,"[1, 16, 13]","[0.494, 0.2426, 0.118]",0.704318004042367,0.0316251981496922,"['trierucin', '13-methylmyristicacid', '12-methyltetradecanoic acid']","[0.9684, 0.9549, 0.9498]",low,trierucin,0.9684,homolog
trierucin,0.9130538670517744,3,"[1, 16, 7]","[0.5404, 0.2899, 0.0827]",0.5292228009759078,0.0183892867450379,"['12-methyltetradecanoic acid', 'tripetroselinin', 'tricaprin']","[0.9816, 0.9809, 0.9728]",low,12-methyltetradecanoic acid,0.9816,same_class
trilaurin,0.9156396187215992,3,"[1, 16, 9]","[0.4419, 0.4381, 0.0357]",0.4857441461461887,0.0008033206068827,"['trimyristin', 'tripalmitin', 'triarachidin']","[0.9992, 0.997, 0.9967]",low,trimyristin,0.9992,homolog
trilinolein,0.8710721395965082,4,"[1, 7, 10]","[0.4232, 0.3965, 0.0514]",0.502923710856215,0.0126895539149978,"['linoleic acid', 'palmitoleic acid', 'trilinolenin']","[0.9873, 0.9538, 0.9437]",low,linoleic acid,0.9873,same_class
trilinolenin,0.8368564679307503,5,"[7, 1, 4]","[0.4945, 0.2757, 0.0666]",0.6106437256454942,0.0150327377512156,"['α-linolenic acid', 'arachidonic acid', 'linoleic acid']","[0.985, 0.9614, 0.9444]",low,α-linolenic acid,0.985,same_class
trimyristin,0.940797234602777,2,"[16, 1, 2]","[0.4589, 0.4543, 0.0276]",0.4910087890576735,0.0008033206068827,"['trilaurin', 'triarachidin', 'tripalmitin']","[0.9992, 0.9988, 0.9987]",low,trilaurin,0.9992,homolog
triolein,0.6993581807195923,8,"[1, 7, 4]","[0.4818, 0.1347, 0.0829]",0.6471194522808095,0.0024343091819025,"['oleate', 'vaccenic acid', 'α-phosphatidylethanolamine']","[0.9976, 0.9953, 0.9889]",low,oleate,0.9976,family
triosephosphate isomerase,0.4807208201671684,10,"[2, 22, 1]","[0.2452, 0.1338, 0.1017]",0.8000592442413981,0.038677468873899,"['lactalbumin', 'pepsin', 'glutathione transferase']","[0.9613, 0.9377, 0.9067]",low,lactalbumin,0.9613,family
tripalmitin,0.9285879445479096,2,"[16, 1, 2]","[0.4708, 0.431, 0.0267]",0.419734927116911,0.0004635383169605,"['triarachidin', 'tristearin', 'tribehenin']","[0.9995, 0.9995, 0.9993]",low,triarachidin,0.9995,homolog
tripalmitolein,0.8505536799621625,5,"[1, 7, 22]","[0.6101, 0.196, 0.0444]",0.5333419891014578,0.0066702976487752,"['vaccenic acid', 'tri-11-eicosenoin', 'palmitoleic acid']","[0.9933, 0.9889, 0.9849]",low,vaccenic acid,0.9933,same_class
tripetroselinin,0.8619315859388953,4,"[1, 16, 7]","[0.4403, 0.3188, 0.1029]",0.6322595419932244,0.019107780899678,"['trierucin', 'sphingomyelin', 'tricaprin']","[0.9809, 0.9783, 0.9707]",low,trierucin,0.9809,homolog
tristearin,0.963666961110834,2,"[16, 1, 2]","[0.4921, 0.4365, 0.0351]",0.4556413310009355,0.0002375791029163,"['tribehenin', 'triarachidin', 'tripalmitin']","[0.9998, 0.9996, 0.9995]",low,tribehenin,0.9998,homolog
trypsin,0.5987376671003293,11,"[2, 7, 22]","[0.4029, 0.1108, 0.085]",0.7039350282318535,0.008989122996459,"['trypsinogen', 'major proteinase', 'elastase']","[0.991, 0.9849, 0.9752]",low,trypsinogen,0.991,family
trypsin inhibitor,0.5754881231069129,12,"[2, 7, 9]","[0.3653, 0.1257, 0.0844]",0.7456044544828625,0.0584251038500065,"['superoxide dismutases', 'ubiquitin', 'trypsin']","[0.9416, 0.9347, 0.9281]",low,superoxide dismutases,0.9416,family
trypsinogen,0.5635006005267216,11,"[2, 7, 22]","[0.3702, 0.1146, 0.0787]",0.7275429328280135,0.008989122996459,"['trypsin', 'major proteinase', 'elastase']","[0.991, 0.9844, 0.9761]",low,trypsin,0.991,family
tryptophan,0.6494056463893613,8,"[22, 6, 0]","[0.3042, 0.2163, 0.1289]",0.8026878899206715,0.2851950587118416,"['glutamate', 'aspartate', 'acetoacetate']","[0.7148, 0.6897, 0.6619]",moderate,glutamate,0.7148,family
tubulin,0.6710875474202109,9,"[19, 12, 11]","[0.5342, 0.0785, 0.0584]",0.6940435495278114,0.0348278755684264,"['creatinine', 'phosphatidylinositol', 'mannose']","[0.9652, 0.696, 0.6177]",low,creatinine,0.9652,distinct
tyrosine,0.7813730048514697,6,"[5, 11, 15]","[0.4954, 0.1738, 0.1122]",0.6308266384279226,0.4948789940223682,"['(+)-raffinose pentahydrate', 'insulin', 'acetoacetate']","[0.5051, 0.4321, 0.3679]",high,(+)-raffinose pentahydrate,0.5051,distinct
ubiquitin,0.6396409144346825,8,"[2, 7, 1]","[0.4189, 0.1152, 0.1056]",0.6981452181755039,0.023448400661054,"['superoxide dismutases', 'elastin', 'thaumatin']","[0.9766, 0.9535, 0.9525]",low,superoxide dismutases,0.9766,family
uracil,0.9568798756757916,2,"[17, 12, 7]","[0.8862, 0.0417, 0.029]",0.2467794426763928,0.1589510887714224,"['cytosine', 't-rna', 'b-dna']","[0.841, 0.7368, 0.5037]",moderate,cytosine,0.841,homolog
urate,0.6084990858989008,8,"[20, 22, 17]","[0.3413, 0.1458, 0.1214]",0.8469932213475155,0.230971603468286,"['fructose', '(-)-fructose', 'ascorbate']","[0.769, 0.7494, 0.6877]",moderate,fructose,0.769,distinct
ure,0.9634916332694616,2,"[6, 21, 12]","[0.7318, 0.1969, 0.0348]",0.4023496225802145,0.0532274421703692,"['urea', 'phenylalanine', 'β-carotene']","[0.9468, 0.8844, 0.582]",low,urea,0.9468,distinct
urea,0.999999999999,2,"[6, 12, 7]","[0.7777, 0.1926, 0.0298]",0.5619525457591871,0.0532274421703692,"['ure', 'phenylalanine', 'β-carotene']","[0.9468, 0.889, 0.6538]",low,ure,0.9468,distinct
vaccenic acid,0.7458253535899869,7,"[1, 7, 4]","[0.5222, 0.1601, 0.0634]",0.6661010339794935,0.0041766950350273,"['oleate', 'triolein', 'α-phosphatidylethanolamine']","[0.9958, 0.9953, 0.994]",low,oleate,0.9958,same_class
valine,0.6224117469688503,8,"[12, 14, 11]","[0.3365, 0.1984, 0.0874]",0.7278160491089543,0.2392575274482385,"['leucine', '(-)-ribose', 'isoleucine']","[0.7607, 0.7563, 0.7478]",moderate,leucine,0.7607,homolog
xanthine,0.7640299002484148,6,"[15, 3, 9]","[0.5816, 0.1037, 0.0787]",0.6400656644622177,0.0707858727027023,"['guanine', 'cysteine', '(+)-galactose']","[0.9292, 0.5354, 0.5253]",low,guanine,0.9292,homolog
xylanase,0.7752362586025647,7,"[18, 14, 11]","[0.449, 0.2377, 0.0885]",0.6120579625290041,0.0032238439081803,"['amylopectin', 'amylose', 'glycogen']","[0.9968, 0.996, 0.9317]",low,amylopectin,0.9968,distinct
α-chymotrypsinogen a (type ii),0.5755702639540468,8,"[2, 22, 7]","[0.3489, 0.1196, 0.1072]",0.737048084744545,0.0243530303337388,"['elastase', 'thaumatin', 'trypsin']","[0.9756, 0.9684, 0.9662]",low,elastase,0.9756,family
α-linolenic acid,0.8065377722323187,5,"[7, 1, 4]","[0.4622, 0.2454, 0.0989]",0.6502538173785006,0.0150327377512156,"['trilinolenin', 'arachidonic acid', 'linoleic acid']","[0.985, 0.9524, 0.9438]",low,trilinolenin,0.985,same_class
α-phosphatidylcholine,0.704707135306765,6,"[1, 7, 3]","[0.4844, 0.122, 0.0983]",0.6970744999124558,0.0214173290148356,"['tri-11-eicosenoin', 'vaccenic acid', 'α-phosphatidylethanolamine']","[0.9786, 0.9763, 0.9742]",low,tri-11-eicosenoin,0.9786,same_class
α-phosphatidylethanolamine,0.7097060842812032,7,"[1, 7, 16]","[0.4713, 0.1519, 0.0865]",0.6557803112046453,0.0060114846506497,"['vaccenic acid', 'oleate', 'triolein']","[0.994, 0.9912, 0.9889]",low,vaccenic acid,0.994,same_class
β-carotene,0.6257749547581716,7,"[18, 6, 12]","[0.2463, 0.2369, 0.1425]",0.8392566948190648,0.0319468852791663,"['carotene', 'glycogen', 'amylopectin']","[0.9681, 0.6572, 0.6547]",low,carotene,0.9681,family
β-d-glucose,0.881110168454611,4,"[12, 10, 15]","[0.5, 0.329, 0.0521]",0.5895021953475648,0.005945737869033,"['(+)-dextrose', 'glucose', '(+)-glucose']","[0.9941, 0.9685, 0.9683]",low,(+)-dextrose,0.9941,homolog
