component,analyte,loading,normalized_loading,contribution_pct,molecular_class,chemical_family,subfamily,molecular_weight,biochemical_role
1,triosephosphate isomerase,0.10169365497729266,0.1608832200366574,0.4317982346581227,protein/peptide,protein,unavailable,unavailable,unavailable
1,horseradish peroxidase,0.09969524677414199,0.15772166244742195,0.42331285634775073,protein/peptide,protein,unavailable,unavailable,unavailable
1,pepsin,0.09850895624580241,0.1558449058283303,0.41827578539142546,protein/peptide,protein,unavailable,unavailable,unavailable
1,collagen,0.09692963419670246,0.1533463584333052,0.4115698756381544,protein/peptide,protein,unavailable,unavailable,unavailable
1,2-deoxy-d-ribose,0.09353282851825971,0.1479724829883849,0.39714680572532873,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,α-chymotrypsinogen a (type ii),0.08911883549299537,0.14098937857265276,0.37840468856444986,protein/peptide,protein,unavailable,unavailable,unavailable
1,fumarate,0.0834814647834712,0.13207084425022034,0.3544680258392338,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
1,insulin,0.08133352234010811,0.12867271782022013,0.3453477148876948,protein/peptide,protein,unavailable,unavailable,unavailable
1,leucine,0.07877229087259259,0.12462075247542927,0.3344725503902541,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,elastase,0.07607855551147501,0.12035916094427647,0.32303476527154185,protein/peptide,protein,unavailable,unavailable,unavailable
1,major proteinase,0.07416278099603728,0.11732833298380428,0.31490025526741483,protein/peptide,protein,unavailable,unavailable,unavailable
1,methionine,0.07384039462723271,0.11681830551826787,0.3135313806315416,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,pyruvate,0.06851318648145852,0.10839046013805179,0.29091168942745127,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
1,diethylstilbestrol,0.06335891588926128,0.10023620852817404,0.2690263029384121,lipid,sterol,unavailable,unavailable,unavailable
1,valine,0.06295135478450031,0.09959143139915569,0.26729577053115045,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,superoxide dismutases,0.059718809922861354,0.09447742279783683,0.2535701633138608,protein/peptide,protein,unavailable,unavailable,unavailable
1,(+)-raffinose pentahydrate,0.05922630381926216,0.09369825945817284,0.25147894861477293,carbohydrate,saccharide,trisaccharide,unavailable,unavailable
1,trypsinogen,0.05776476098042869,0.09138604324187546,0.2452731374672984,protein/peptide,protein,unavailable,unavailable,unavailable
1,trypsin,0.05718351409521438,0.09046648861921551,0.242805123322344,protein/peptide,protein,unavailable,unavailable,unavailable
1,papain,0.054534537000990126,0.0862757063642429,0.23155738487503139,protein/peptide,protein,unavailable,unavailable,unavailable
1,pepsinogen,0.04654336356417899,0.07363336683310251,0.19762631431185404,protein/peptide,protein,unavailable,unavailable,unavailable
1,proline,0.04635465101021591,0.07333481641371105,0.19682502786308514,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,tubulin,0.04622941227641578,0.07313668398576774,0.19629325560868252,protein/peptide,protein,unavailable,unavailable,unavailable
1,lectin,0.04615903179022798,0.07302533938665617,0.1959944152366155,protein/peptide,protein,unavailable,unavailable,unavailable
1,glycerol,0.04610980922829165,0.07294746742635994,0.19578541286223722,carbohydrate,polyol,unavailable,unavailable,unavailable
1,ergothioneine,0.04543702222442681,0.07188309286331802,0.19292871309434478,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
1,acetyl-coa,0.042599431388558096,0.06739391651379055,0.18088010776214614,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
1,coenzyme a,0.04152801539088295,0.06569889576010386,0.17633080194278208,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
1,thaumatin,0.04039953803002782,0.06391360176517977,0.17153920966126063,protein/peptide,protein,unavailable,unavailable,unavailable
1,phenylalanine,0.03802838279731337,0.06016234423459881,0.1614711218949679,protein/peptide,amino_acid,aromatic amino acid,unavailable,unavailable
1,phosphatidylinositol,0.03718466130388476,0.05882754482447591,0.15788862255922334,lipid,lipid,unavailable,unavailable,unavailable
1,citrate,0.03512468284477057,0.055568580754569635,0.14914181271864987,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
