method,K,n_scored,chemically_admissible,top1,top3,null_top1,null_p95,kappa,above_null_p95,macro_f1,balanced_acc,mean_expected_rank,median_expected_rank,ece,mean_confidence,chem_coherence,spec_coherence,resolution,interpretability,score_kappa_x_interp,theme_overlap,theme_usage_entropy,max_theme_size,min_theme_size,theme_names,pareto
D_ontology,6,163,False,0.7546,1.0,0.5762,0.6135,0.421,True,0.2544,0.3024,1.307,1,0.2006,0.5836,0.6565,0.8167,0.6324,0.6973,0.2935,0.5621,0.4416,11,1,Free + Aromatic + Organic… | Fatty + Sterol | Acylglycerol | Polysaccharide | Flavin | Carotenoid,False
D_ontology,7,163,False,0.6871,1.0,0.4733,0.5092,0.406,True,0.2713,0.31,1.368,1,0.1955,0.4916,0.6627,0.7653,0.6868,0.7007,0.2845,0.5744,0.4561,9,1,Organic + Monosaccharide + Phosphate… | Free + Aromatic | Fatty + Sterol | Acylglycerol | Polysaccharide | Flavin | Carotenoid,False
D_ontology,8,163,False,0.6135,1.0,0.2661,0.3129,0.4733,True,0.3277,0.3645,1.497,1,0.2694,0.3441,0.6091,0.7279,0.734,0.6822,0.3229,0.5838,0.7334,5,1,Organic + Phosphate + Oxopurine… | Free + Aromatic | Monosaccharide + Porphyrin + Protein… | Fatty + Sterol | Acylglycerol | Polysaccharide | Flavin | Carotenoid,False
D_ontology,9,163,False,0.5583,0.9816,0.2199,0.2638,0.4338,True,0.2913,0.3332,1.613,1,0.2312,0.3314,0.5555,0.7615,0.7755,0.6833,0.2964,0.5569,0.716,5,1,Organic + Phosphate + Oxopurine… | Free + Aromatic | Monosaccharide + Porphyrin + Protein | Fatty + Sterol | Acylglycerol | Polysaccharide | Sulfur metabolite | Flavin | Carotenoid,False
D_ontology,10,163,False,0.5951,0.9571,0.2148,0.2638,0.4843,True,0.2951,0.336,1.626,1,0.2847,0.3104,0.5916,0.7858,0.8127,0.7162,0.3469,0.55,0.7463,4,1,Nucleic acid | Free + Aromatic | Monosaccharide + Porphyrin + Protein | Fatty + Sterol | Acylglycerol | Polysaccharide | Organic acid | Sulfur metabolite | Flavin | Carotenoid,False
D_ontology,11,163,False,0.5092,0.9018,0.1309,0.1718,0.4353,True,0.3784,0.4792,1.871,1,0.2213,0.2879,0.6376,0.8042,0.8464,0.7502,0.3265,0.546,0.7993,4,1,Nucleic acid | Free + Aromatic | Porphyrin + Protein | Fatty + Sterol | Acylglycerol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Flavin | Carotenoid,False
D_ontology,12,163,True,0.4294,0.8773,0.1164,0.1595,0.3543,True,0.3974,0.4724,2.0,2,0.1475,0.2819,0.6317,0.8668,0.8771,0.7758,0.2749,0.5343,0.7974,4,1,Nucleic acid | Free + Aromatic | Protein backbone | Fatty + Sterol | Acylglycerol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
D_ontology,13,163,True,0.411,0.8773,0.1154,0.1534,0.3342,True,0.3946,0.4491,2.018,2,0.1378,0.2732,0.6521,0.9195,0.9053,0.8083,0.2701,0.5335,0.7728,4,1,Nucleic acid | Aromatic residue | Protein backbone | Free amino acid | Fatty + Sterol | Acylglycerol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
D_ontology,14,163,True,0.4479,0.9018,0.1045,0.1411,0.3834,True,0.4653,0.534,1.933,2,0.203,0.2449,0.6154,0.9091,0.9315,0.7983,0.3061,0.5277,0.8583,2,1,Purine | Phosphate + Pyrimidine | Aromatic residue | Protein backbone | Free amino acid | Fatty + Sterol | Acylglycerol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
D_ontology,15,163,True,0.5399,0.9018,0.0969,0.135,0.4905,True,0.4654,0.5487,1.804,1,0.301,0.2389,0.5973,0.9529,0.9558,0.8115,0.3981,0.5177,0.8702,2,1,Purine | Phosphate + Pyrimidine | Aromatic residue | Protein backbone | Free amino acid | Fatty acyl | Acylglycerol | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
D_ontology,16,163,True,0.5706,0.908,0.0965,0.135,0.5247,True,0.4645,0.5627,1.804,1,0.3409,0.2297,0.6232,0.9784,0.9786,0.8364,0.4388,0.5119,0.8564,2,1,Purine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Fatty acyl | Acylglycerol | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
D_ontology,17,163,True,0.5706,0.9141,0.0967,0.135,0.5246,True,0.438,0.523,1.816,1,0.3469,0.2236,0.6054,1.0,1.0,0.8422,0.4418,0.5042,0.8694,1,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Fatty acyl | Acylglycerol | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
E_hybrid,2,163,False,0.9816,1.0,0.6797,0.7239,0.9425,True,0.953,0.9691,1.018,1,0.1475,0.8341,0.2233,0.7006,0.2447,0.3729,0.3514,0.4664,0.7504,15,2,Free + Aromatic + Organic… | Acyl lipid,True
E_hybrid,3,163,False,0.9509,1.0,0.4309,0.4847,0.9138,True,0.8921,0.9046,1.049,1,0.3439,0.607,0.1908,0.6743,0.3878,0.3949,0.3609,0.5376,0.918,8,2,Flavin + Oxopurine + Porphyrin… | Free + Aromatic + Organic… | Acyl lipid,True
E_hybrid,4,163,False,0.8405,1.0,0.3721,0.4294,0.746,True,0.7202,0.7155,1.178,1,0.2909,0.5496,0.1768,0.7117,0.4893,0.431,0.3215,0.554,0.8138,7,2,Flavin + Oxopurine + Porphyrin… | Free + Organic + Monosaccharide… | Aromatic + Carotenoid | Acyl lipid,False
E_hybrid,5,163,False,0.8834,1.0,0.3901,0.4479,0.8089,True,0.6921,0.6499,1.129,1,0.3525,0.5309,0.3429,0.7816,0.5681,0.5421,0.4385,0.5226,0.6984,6,1,Flavin + Oxopurine + Porphyrin… | Pyrimidine | Free + Organic + Monosaccharide… | Aromatic + Carotenoid | Acyl lipid,True
E_hybrid,6,163,False,0.7117,0.9693,0.275,0.3313,0.6023,True,0.6264,0.5953,1.387,1,0.2389,0.4727,0.3041,0.7727,0.6324,0.5432,0.3272,0.539,0.7562,6,1,Flavin + Oxopurine + Porphyrin… | Pyrimidine | Monosaccharide + Phosphate + Polysaccharide… | Aromatic + Carotenoid | Free + Organic | Acyl lipid,False
