cid,arm,pk_matched,pk_mismatched,pk_random,pk_effect_vs_mismatched,pk_effect_size
A_rubberband6_p95,A_baseline_norm,0.810091708553357,0.806460450533573,0.6567339079464632,0.0036312580197842,0.0258303995091038
A_rubberband6_max,A_baseline_norm,0.810091708553357,0.806460450533573,0.6567339079464632,0.0036312580197842,0.0258303995091038
A_rubberband6_snv,A_baseline_norm,0.810091708553357,0.806460450533573,0.6567339079464632,0.0036312580197842,0.0258303995091038
A_poly37_l2,A_baseline_norm,0.8735284243878432,0.8649805042934705,0.7237450166622708,0.0085479200943726,0.1089546513819644
A_poly37_area,A_baseline_norm,0.8735284243878432,0.8649805042934705,0.7237450166622708,0.0085479200943726,0.1089546513819644
A_poly37_robust,A_baseline_norm,0.8735284243878432,0.8649805042934705,0.7237450166622708,0.0085479200943726,0.1089546513819644
A_poly37_p95,A_baseline_norm,0.8735284243878432,0.8649805042934705,0.7237450166622708,0.0085479200943726,0.1089546513819644
A_poly37_max,A_baseline_norm,0.8735284243878432,0.8649805042934705,0.7237450166622708,0.0085479200943726,0.1089546513819644
A_poly37_snv,A_baseline_norm,0.8735284243878432,0.8649805042934705,0.7237450166622708,0.0085479200943726,0.1089546513819644
A_morph8_l2,A_baseline_norm,0.8801308298293945,0.8723821065740551,0.7264526983209187,0.0077487232553392,0.1358944398785528
A_morph8_area,A_baseline_norm,0.8801308298293945,0.8723821065740551,0.7264526983209187,0.0077487232553392,0.1358944398785528
A_morph8_robust,A_baseline_norm,0.8801308298293945,0.8723821065740551,0.7264526983209187,0.0077487232553392,0.1358944398785528
A_morph8_p95,A_baseline_norm,0.8801308298293945,0.8723821065740551,0.7264526983209187,0.0077487232553392,0.1358944398785528
A_morph8_max,A_baseline_norm,0.8801308298293945,0.8723821065740551,0.7264526983209187,0.0077487232553392,0.1358944398785528
A_morph8_snv,A_baseline_norm,0.8801308298293945,0.8723821065740551,0.7264526983209187,0.0077487232553392,0.1358944398785528
B_0_none0,B_smoothing,0.8735284243878432,0.8649805042934705,0.7237450166622708,0.0085479200943726,0.1089546513819644
B_0_savgol1,B_smoothing,0.8401420415912139,0.8279172134791762,0.675335704875643,0.0122248281120374,0.1430312131941839
B_0_savgol2,B_smoothing,0.7831251176509797,0.7698487575569642,0.5875082162475858,0.0132763600940153,0.0882235143346267
B_0_savgol3,B_smoothing,0.7040158751305141,0.6948654045705072,0.5120533074248984,0.0091504705600071,0.0268601236076252
B_0_savgol4,B_smoothing,0.6420939483340096,0.6255184976547967,0.4593022273742729,0.0165754506792127,0.0677950798419603
B_0_savgol5,B_smoothing,0.5478664712949121,0.5257672515701177,0.3828200204765019,0.0220992197247943,0.1148793338433676
B_0_savgol6,B_smoothing,0.4003919922917249,0.3898341004369302,0.2909336264281618,0.0105578918547947,-0.0007118947289127
B_0_gaussian7,B_smoothing,0.7781364440185354,0.7546900761198696,0.5777075805728604,0.0234463678986658,0.1381443080319783
B_0_gaussian8,B_smoothing,0.546289536158872,0.5179150834185429,0.3795474213843198,0.0283744527403289,0.1184491652129473
B_0_gaussian9,B_smoothing,0.4098164627262221,0.371869268481568,0.2830621337107634,0.0379471942446541,0.1976195464257698
B_0_whittaker10,B_smoothing,0.5818540965398551,0.5706118864814862,0.4132860944335631,0.0112422100583689,0.0411501951689213
B_0_whittaker11,B_smoothing,0.3778731465355797,0.3486028370850117,0.2683445078781141,0.0292703094505679,0.1584150238114982
B_0_wavelet12,B_smoothing,0.4980275733390354,0.4685623048661561,0.3533575624929375,0.0294652684728794,0.1038539941018662
B_1_none0,B_smoothing,0.8764108442302356,0.869398136439458,0.727097303799468,0.0070127077907777,0.0891500063156269
B_1_savgol1,B_smoothing,0.8288321832668751,0.8265235904296919,0.6641509807650472,0.0023085928371833,0.0594005541514005
B_1_savgol2,B_smoothing,0.767255599654122,0.7486756024762992,0.5699957560480418,0.0185799971778229,0.1131985363926878
B_1_savgol3,B_smoothing,0.6696703278661482,0.6535825298521377,0.4839393664277759,0.0160877980140105,0.0626427102779772
B_1_savgol4,B_smoothing,0.5947690841521583,0.5839038889369831,0.4274752627555857,0.0108651952151752,0.0510775503495526
B_1_savgol5,B_smoothing,0.4876894246378134,0.4682872453915645,0.3446950587005444,0.0194021792462488,0.0972492434660656
B_1_savgol6,B_smoothing,0.367085036546935,0.3356434381291779,0.253849858129838,0.031441598417757,0.1647459184254463
B_1_gaussian7,B_smoothing,0.7521408896475864,0.7248122778742283,0.5484825476102452,0.0273286117733581,0.1425457191187832
B_1_gaussian8,B_smoothing,0.4887222269708901,0.4508950888188856,0.3367562077999243,0.0378271381520044,0.1704956483042747
B_1_gaussian9,B_smoothing,0.3491101315499711,0.3089330437997996,0.2425241734943606,0.0401770877501715,0.2303218920380352
B_1_whittaker10,B_smoothing,0.5424327490027251,0.5205373155109997,0.3831174157365097,0.0218954334917253,0.0927883911808859
B_1_whittaker11,B_smoothing,0.3313586584241664,0.3065734352422186,0.2396051838665641,0.0247852231819477,0.1243194898900708
B_1_wavelet12,B_smoothing,0.4257861431497795,0.4094125696133271,0.3064967896371305,0.0163735735364523,0.0583501246586872
C_mean,C_aggregation,0.8288321832668751,0.8265235904296919,0.6641509807650472,0.0023085928371833,0.0594005541514005
C_median,C_aggregation,0.8513441305756517,0.8421636147899726,0.6849841363355682,0.0091805157856792,0.0477647275371526
C_ivw,C_aggregation,0.8346191828062921,0.8302510513871553,0.6696494997236278,0.0043681314191366,0.062145283340895
C_huber,C_aggregation,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
C_consensus,C_aggregation,0.8264851831179605,0.8290651163275854,0.6724408477419466,-0.0025799332096248,0.0880050529489693
D_none0,D_background,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
D_mean1,D_background,0.7407881652237166,0.7408405098322749,0.5922865280549567,-5.234460855827114e-05,0.0128162152670101
D_scaled_mean2,D_background,0.8201424294202309,0.8115009999902698,0.6468778270706974,0.0086414294299609,0.1072700758178548
D_scaled_mean3,D_background,0.8201424294202309,0.8115009999902698,0.6468778270706974,0.0086414294299609,0.1072700758178548
D_scaled_mean4,D_background,0.8175175335160286,0.80665216253997,0.6458056203778794,0.0108653709760587,0.1304305234169723
D_scaled_mean5,D_background,0.841259781243392,0.8388826192575325,0.6791182048693041,0.0023771619858593,0.0493798105076449
D_lowrank6,D_background,0.8138094639921312,0.8166154091051612,0.6573924850536506,-0.0028059451130301,-0.0109001991481733
D_lowrank7,D_background,0.8485585378676133,0.8411825333897541,0.6839531350432699,0.0073760044778591,0.0351681708923495
D_lowrank8,D_background,0.8610021250133053,0.8529122886724337,0.6992244148621931,0.0080898363408717,0.1199295017008795
D_lowrank9,D_background,0.8793978899256238,0.8661608137049918,0.7099501288690366,0.013237076220632,0.067135461771992
D_robust_lowrank10,D_background,0.8856091863164618,0.870743563019477,0.7127356707734439,0.0148656232969848,0.0748809175714902
