lsm_a,lsm_b,class_a,class_b,same_class,spectral_cosine,band_overlap,peak_agreement,bootstrap_cooccurrence,activation_cooccurrence,provenance_overlap,substitutability,edge_weight
acylglycerol.m00,acylglycerol.m02,acylglycerol,acylglycerol,True,0.8066468622471237,0.5331815518572912,0.5333333333333333,0.8038443564407903,0.9608204572151443,1.0,0.0,0.35986971233261056
mono_oligosaccharide.m04,purine.m00,mono_oligosaccharide,purine,False,0.5170029423181575,0.20244665952715712,0.25,0.2771279426576807,0.5956463523825953,1.0,0.6464072944977298,0.35802947294803256
mono_oligosaccharide.m03,peptide_protein.m07,mono_oligosaccharide,peptide_protein,False,0.5077273929200855,0.305665782173847,0.125,0.34316029223872596,0.2924024741861554,1.0,1.0,0.35801150698787304
free_amino_acid.m01,phospholipid_sphingolipid.m01,free_amino_acid,phospholipid_sphingolipid,False,0.5060516636339376,0.136723683701474,0.375,0.33261852692145244,0.7804578722984796,1.0,0.5556223094471888,0.357198378499224
chromophore_pigment.m01,peptide_protein.m07,chromophore_pigment,peptide_protein,False,0.4896613981559659,0.17012899082177063,0.25,0.4484433765560063,0.47824901221485666,1.0,0.639980713902156,0.35620744749092126
carboxylic_acid_metabolite.m01,sulfur_thiol_cofactor.m00,carboxylic_acid_metabolite,sulfur_thiol_cofactor,False,0.6501968258735352,0.15833370945476197,0.25,0.21279690910233187,0.7331296154825567,1.0,0.8350729050410002,0.35487763473951617
free_amino_acid.m06,phospholipid_sphingolipid.m01,free_amino_acid,phospholipid_sphingolipid,False,0.6233212787053417,0.20180171859756432,0.25,0.3196307548794434,0.42428678216154503,1.0,0.45945500118878596,0.35444768127935905
nucleic_acid_polymer.m00,sterol_steroid.m02,nucleic_acid_polymer,sterol_steroid,False,0.4047172509321824,0.23226004934775582,0.125,0.39501071595056075,0.6557332610463541,1.0,0.9977999535409582,0.3536135307470442
free_amino_acid.m00,sulfur_thiol_cofactor.m00,free_amino_acid,sulfur_thiol_cofactor,False,0.619912972272655,0.1579648881560717,0.125,0.4869787040598892,0.7852025267585041,1.0,0.6793605214563516,0.3535716887231188
fatty_acid.m02,phospholipid_sphingolipid.m00,fatty_acid,phospholipid_sphingolipid,False,0.6424503245362434,0.1199820070198997,0.25,0.6114412881501292,0.9042328955042429,1.0,0.2657955802151232,0.35243088660349264
phosphate_metabolite.m00,sterol_steroid.m02,phosphate_metabolite,sterol_steroid,False,0.534875357926281,0.17268416792138525,0.125,0.5111307898574148,0.7036759571863936,1.0,0.6796894960317573,0.3497423985269284
free_amino_acid.m06,mono_oligosaccharide.m04,free_amino_acid,mono_oligosaccharide,False,0.4671013545453726,0.2179945663416953,0.25,0.18887350870141914,0.7085881860075409,1.0,0.7689970855535238,0.3493350492437458
fatty_acid.m02,peptide_protein.m00,fatty_acid,peptide_protein,False,0.4780085339504888,0.4649729037758217,0.25,0.42191629273203923,0.7287431101472849,0.0,1.0,0.34871966056581744
peptide_protein.m03,sulfur_thiol_cofactor.m00,peptide_protein,sulfur_thiol_cofactor,False,0.5776050867892546,0.1642389348769478,0.125,0.4629144262010848,0.7130798360399879,1.0,0.7155829692669576,0.3478056688565099
mono_oligosaccharide.m03,sterol_steroid.m02,mono_oligosaccharide,sterol_steroid,False,0.47599868603164486,0.22193190748461056,0.125,0.31222952615430766,0.6296146611137123,1.0,1.0,0.3472891121186321
mono_oligosaccharide.m05,phospholipid_sphingolipid.m01,mono_oligosaccharide,phospholipid_sphingolipid,False,0.5119684584012746,0.24139609309048302,0.25,0.18026835176859923,0.7717440055200967,1.0,0.4350632120127065,0.3453128083418889
mono_oligosaccharide.m00,sulfur_thiol_cofactor.m00,mono_oligosaccharide,sulfur_thiol_cofactor,False,0.5220004035625564,0.1285736701671977,0.25,0.46704807021646866,0.719250515455449,1.0,0.5037491554734399,0.34421268255516724
mono_oligosaccharide.m01,sterol_steroid.m02,mono_oligosaccharide,sterol_steroid,False,0.33347490996320395,0.19351968392140229,0.25,0.34002365178005584,0.513718918652505,1.0,1.0,0.34417858570924975
mono_oligosaccharide.m00,peptide_protein.m03,mono_oligosaccharide,peptide_protein,False,0.48320359442612165,0.08741856438875531,0.5,0.37243523122303707,0.8445369936831039,1.0,0.6444505559933782,0.34380397298115145
fatty_acid.m04,peptide_protein.m07,fatty_acid,peptide_protein,False,0.39433217498304274,0.2558590710349776,0.125,0.3618220942952594,0.46114985583676293,1.0,1.0,0.3434532415493828
