lsm_a,lsm_b,class_a,class_b,same_class,spectral_cosine,band_overlap,peak_agreement,bootstrap_cooccurrence,activation_cooccurrence,provenance_overlap,substitutability,edge_weight
free_amino_acid.m03,polysaccharide.m01,free_amino_acid,polysaccharide,False,0.44437552164857674,0.41952099401600323,0.375,0.29848329122065503,0.6411575774004618,1.0,1.0,0.47127849424524665
free_amino_acid.m00,peptide_protein.m03,free_amino_acid,peptide_protein,False,0.5521605233486758,0.30089511223575766,0.5,0.38369558648958907,0.6935656373986545,1.0,0.5768334677979194,0.46846179375679375
free_amino_acid.m01,peptide_protein.m07,free_amino_acid,peptide_protein,False,0.5475041047162024,0.3626505270694202,0.25,0.4862237985112719,0.48539885162276064,1.0,1.0,0.4665260098985733
nucleic_acid_polymer.m00,polysaccharide.m01,nucleic_acid_polymer,polysaccharide,False,0.4731112920871222,0.33919431640848025,0.375,0.4509097888972174,0.485040702498008,1.0,0.9360611534640124,0.4650837705647623
peptide_protein.m07,sterol_steroid.m00,peptide_protein,sterol_steroid,False,0.6394470367567902,0.24408549046953054,0.25,0.5828037382270016,0.6730591356777316,1.0,0.7669670744027387,0.450659729580694
free_amino_acid.m06,sterol_steroid.m00,free_amino_acid,sterol_steroid,False,0.5692040193842589,0.35775601993111494,0.25,0.3913935148551855,0.7633422870614522,1.0,0.5773813706105616,0.449212242003392
nucleic_acid_polymer.m00,purine.m00,nucleic_acid_polymer,purine,False,0.5478244637023975,0.27896375366263915,0.375,0.4364048114648597,0.6672728915613166,1.0,0.5788781261836052,0.4465729474370595
carboxylic_acid_metabolite.m01,mono_oligosaccharide.m03,carboxylic_acid_metabolite,mono_oligosaccharide,False,0.7133832465909,0.43963041071361414,0.25,0.14764485996642654,0.73475935828877,1.0,0.8946446855113892,0.4449281001607944
free_amino_acid.m00,mono_oligosaccharide.m02,free_amino_acid,mono_oligosaccharide,False,0.5289194598689602,0.2790805086932581,0.5,0.3358736185549183,0.5916114246285025,1.0,0.6175939067555078,0.4427475082841156
carboxylic_acid_metabolite.m01,peptide_protein.m03,carboxylic_acid_metabolite,peptide_protein,False,0.6997188796554625,0.3842422853101495,0.375,0.1391254898577697,0.7239590264258197,1.0,0.7328999640754211,0.4418018931158328
phosphate_metabolite.m00,polysaccharide.m00,phosphate_metabolite,polysaccharide,False,0.6212426563574847,0.1787970857414908,0.25,0.6306520904730015,0.8622538751571011,1.0,0.9544592808022003,0.43948200362593653
fatty_acid.m00,free_amino_acid.m06,fatty_acid,free_amino_acid,False,0.4350253184063829,0.3007568869287029,0.375,0.2940762164865898,0.7489538924074028,1.0,1.0,0.43759866221654226
carboxylic_acid_metabolite.m00,phosphate_metabolite.m00,carboxylic_acid_metabolite,phosphate_metabolite,False,0.6244628749861533,0.2463657469687912,0.375,0.5382110510838198,0.28640594067539044,1.0,0.7972155116889165,0.4351107010834293
fatty_acid.m03,free_amino_acid.m06,fatty_acid,free_amino_acid,False,0.5298981908541307,0.39681136223277413,0.14285714285714285,0.34587220377170985,0.7465717078620304,1.0,1.0,0.43237871658817245
carboxylic_acid_metabolite.m01,phospholipid_sphingolipid.m01,carboxylic_acid_metabolite,phospholipid_sphingolipid,False,0.6836189701501778,0.281323480965226,0.375,0.19644566881679268,0.7790088469405358,1.0,0.7252518759869634,0.4310806218876338
sterol_steroid.m02,sulfur_thiol_cofactor.m00,sterol_steroid,sulfur_thiol_cofactor,False,0.6945094850460656,0.29189405067877455,0.125,0.6777517162102589,0.8489892144541102,1.0,0.44241547902550377,0.42787044778725264
peptide_protein.m03,phosphate_metabolite.m00,peptide_protein,phosphate_metabolite,False,0.6073656832259734,0.19044051366082243,0.25,0.5134885995533803,0.8479969113745205,1.0,0.8918237341907841,0.4273343836826497
peptide_protein.m07,sterol_steroid.m02,peptide_protein,sterol_steroid,False,0.50973985789946,0.23559375731193927,0.25,0.4800563362245304,0.6437894806016249,1.0,1.0,0.42390631188731814
peptide_protein.m07,sulfur_thiol_cofactor.m01,peptide_protein,sulfur_thiol_cofactor,False,0.45099901622096794,0.2514160715583152,0.25,0.4323554992529031,0.7543064146479707,1.0,1.0,0.4204896470574978
peptide_protein.m02,small_nitrogenous.m00,peptide_protein,small_nitrogenous,False,0.669466525518984,0.5780950539540265,0.375,0.5509496138207516,0.5735922521501269,0.0,0.8505734193890435,0.41855117708870443
acylglycerol.m02,free_amino_acid.m06,acylglycerol,free_amino_acid,False,0.44112920845320464,0.24908920586515523,0.375,0.30017522089203186,0.7225888595907571,1.0,1.0,0.41840988098909576
fatty_acid.m03,peptide_protein.m07,fatty_acid,peptide_protein,False,0.5290606432707715,0.20853898615657096,0.2857142857142857,0.47461843108497387,0.5876389265383574,1.0,1.0,0.418071386286624
free_amino_acid.m06,phospholipid_sphingolipid.m00,free_amino_acid,phospholipid_sphingolipid,False,0.572065634125812,0.3389575172151614,0.25,0.38270765244523924,0.7387187132917684,1.0,0.3017587128418478,0.41300989284378115
phospholipid_sphingolipid.m01,purine.m00,phospholipid_sphingolipid,purine,False,0.7527030938947876,0.22963194050292626,0.125,0.4696917615486619,0.8301880282904952,1.0,0.7206625455503481,0.40605241641228734
peptide_protein.m08,sterol_steroid.m00,peptide_protein,sterol_steroid,False,0.7439768621770971,0.3291363027366826,0.375,0.6856091793731416,0.8654180733877128,0.0,0.9824270921624001,0.40562493561466983
mono_oligosaccharide.m03,purine.m00,mono_oligosaccharide,purine,False,0.5563416892837646,0.19826569607363995,0.375,0.30464776571952945,0.6688073469857152,1.0,0.8488933640796721,0.4050139881548593
