analyte,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
(+)-sucrose,0.0,0.02504178965063383,0.035521674745182315,0.0,0.0059282052539955336,0.0,0.011990766055149153,0.0,0.0,0.0,0.09946316255296407,0.17944840528504763,0.14639868877438686,0.007000881253493991,0.03468126171873511,0.048722417468431256,0.01257945140648799,0.06985552402446417,0.04738685138762662,0.0,0.06066976354659001,0.0,0.0,0.0
(+)-trehalose,0.0,0.0,0.0,0.0,0.0052329862603776155,0.029624659419857792,0.010569973166335673,0.0,0.005925506696066124,0.04239188413746912,0.12014746553656658,0.012241638198250896,0.20130179608504775,0.020668342981736525,0.0,0.0,0.00800005545495083,0.01375366671979229,0.11324500819143798,0.08237995434508688,0.0,0.0,0.0005954003142814196,0.0
(+)-xylose,0.0,0.0,0.0,0.0,0.02449183479820681,0.0,0.0026802513364329364,0.0,0.00270192344224774,0.18050517401990723,0.05645781022282224,0.0,0.07297464870359185,0.006995020912917178,0.06791166174871482,0.0,0.0,0.017700941349471,0.14148463021157826,0.05196856717853978,0.006832690529741356,0.0006016430968734137,0.0,0.0
(-)-arabinose,0.0,0.0,0.0,0.0065910361502063905,0.0,0.003538555131593586,0.008335000169968396,0.006537073432038593,0.0,0.0,0.20617992365641716,0.10334430708417662,0.0,0.0,0.025770652796957318,0.007888527895267061,0.0,0.013050618776236214,0.008659578352403014,0.10234876297350595,0.0562031638331498,0.03510259816682323,0.0,0.0
(-)-fructose,0.0075665617332955366,0.019722810422216824,0.00972767705120222,0.0,0.1229924631916322,0.01653174248128766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00105440183438913,0.0,0.0,0.0005528437213200833,0.001985792026609653,0.0,0.3485848530524833,0.0778870463922472,0.0,0.0
(-)-ribose,0.0,0.019170477874886026,0.0,0.0008264139152548523,0.09977728433504747,0.0,0.016985172739247805,0.0,0.0,0.10478848883737209,0.035128369277121374,0.0,0.22637813255246317,0.011396589302229507,0.043428305375859254,0.009980082455911945,0.046393129534787664,0.006796034172078371,0.0,0.0,0.057538637493842436,0.0,0.001479816507542612,0.0
12-methyltetradecanoic acid,0.0017365421317179323,0.2766081156682747,0.0,0.0,0.011880375197396157,0.0007837509123788925,0.0042617738034998924,0.005988381927519993,0.002237420497292339,0.010213274835415604,0.026741111701540487,0.0,0.0,0.0,0.0,0.0,0.15542830469366137,0.002328135237832222,0.023863338496476028,0.019147346750930463,0.007668871681107018,0.02970910709389759,0.0031969636682248545,0.0
13-methylmyristicacid,0.0,0.2424503119657781,0.05226801031668331,0.0,0.0,0.02361765523835227,0.0,0.0,0.0020987528752756373,0.0,0.016487217891547765,0.021843456627171774,0.020466920993508976,0.0,0.013528075823274921,0.0,0.08275018133983723,0.0,0.008239300603023034,0.005497149322295804,0.0036906842397486607,0.003139394663824943,0.0,0.0
14-methylhexadecanoic acid,0.0,0.21507165526574898,0.02662091046439944,0.0,0.0,0.0,0.0,0.001039770059346235,0.000509525897699542,0.0,0.07235804656339678,0.0,0.054326238404921144,0.0,0.0,0.0,0.08113274924147175,0.0,0.05308546531702395,0.005563956533536204,0.0,0.019002364359611352,0.0,0.0
14-methylpentadecanoic acid,0.0,0.2448530507426014,0.014884885347367349,0.0,0.0,0.008528221321825732,0.0,0.0004950768961624173,2.281937777359807e-05,0.009357546378104837,0.003063394623707129,0.0,0.0,0.0016099776986703226,0.023770509258450187,0.0,0.24517109409686122,0.004894059476153141,0.0,0.01741215203606065,0.0038086284671427213,0.0,0.0,0.0
15-methylpalmiticacid,6.859255762286156e-05,0.251414042921308,0.0216034759998052,0.0,0.0,0.01343292149224983,0.0002849764289624467,0.0,0.0017038999918086363,0.0,0.0,0.0,0.0,0.0,0.020801883889968113,0.0,0.23204797731900542,0.0,0.0,0.0007953037578473229,0.02567682780267907,0.0,0.0,0.0
