condition_family,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
diabetes_metabolic,G08,1,1,1,0.339,0.339,up,1.0,0.439,gaira_base_4_diabetes_ev_pilot_v1
cross_pilot,G10,2,1,1,0.084,0.084,stable,1.0,0.368,gaira_base_4_cross_pilot_synthesis_v1
diabetes_metabolic,G09,1,1,1,-0.198,0.198,stable,1.0,0.298,gaira_base_4_diabetes_ev_pilot_v1
diabetes_metabolic,G04,1,1,1,0.132,0.132,stable,1.0,0.232,gaira_base_4_diabetes_ev_pilot_v1
diabetes_metabolic,G06,1,1,1,0.132,0.132,stable,1.0,0.232,gaira_base_4_diabetes_ev_pilot_v1
diabetes_metabolic,G03,1,1,1,0.132,0.132,stable,1.0,0.232,gaira_base_4_diabetes_ev_pilot_v1
diabetes_metabolic,G02,1,1,1,0.095,0.095,stable,1.0,0.195,gaira_base_4_diabetes_ev_pilot_v1
diabetes_metabolic,G11,1,1,1,-0.077,0.077,stable,1.0,0.177,gaira_base_4_diabetes_ev_pilot_v1
diabetes_metabolic,G10,1,1,1,-0.06,0.06,stable,1.0,0.16,gaira_base_4_diabetes_ev_pilot_v1
diabetes_metabolic,G07,1,1,1,-0.038,0.038,stable,1.0,0.138,gaira_base_4_diabetes_ev_pilot_v1
