id,component,family,membrane_lipid,protein_backbone,aromatic_amino_acid,purine_nucleotide,pyrimidine_nucleotide,glycan_carbohydrate,redox_metabolite,nucleic_acid_backbone,dominant_axis,dominant_weight
30,guanine,NucleicAcids,0.08489292636103954,0.07734444457979808,0.11417471209963066,0.044688375622328545,0.010919253155065,0.012055200850143158,0.03877304716777634,0.022995077864024705,aromatic_amino_acid,0.11417471209963066
31,l-alanine,AminoAcids,0.0606344355101157,0.08695959624041873,0.12358876502963088,0.07584738127784672,0.0384745716858924,0.05712347620639919,0.07340492180830419,0.04695203324621812,aromatic_amino_acid,0.12358876502963088
32,l-arginine,AminoAcids,0.1253060311077015,0.10162268520294104,0.13002281150779701,0.041282066382403344,0.029392949950592783,0.11152605901650034,0.05199770046879731,0.20685475443512966,nucleic_acid_backbone,0.20685475443512966
33,l-glutamate,AminoAcids,0.2743534626406013,0.12845677008730755,0.08535347444631573,0.09364576613261542,0.09645007359414512,0.11137429420110126,0.12421179362067616,0.07553565634129988,membrane_lipid,0.2743534626406013
34,l-histidine,AminoAcids,0.05915059769322835,0.1210407657721231,0.057675492469563536,0.06241842768532837,0.040624442919658485,0.08561490007689174,0.014086599077661821,0.043303638351401955,protein_backbone,0.1210407657721231
35,l-phenylalanine,AminoAcids,0.038378555535676026,0.03451003254290049,0.12573805179405467,0.030790433134021977,0.046813340347302446,0.013577193281553799,0.04198171074681871,0.06390297235061645,aromatic_amino_acid,0.12573805179405467
36,l-proline,AminoAcids,0.2597966443871586,0.2820751762299517,0.3293505118924701,0.17287023597652076,0.11950149312101813,0.3296205397919664,0.09257342025260239,0.277179646479353,glycan_carbohydrate,0.3296205397919664
37,l-serine,AminoAcids,0.06386468039979831,0.11432244586060705,0.16211719441208194,0.09209426974975639,0.09474845765055648,0.08735032049744826,0.14403279004727293,0.01920965674508449,aromatic_amino_acid,0.16211719441208194
38,l-tryptophan,AminoAcids,0.06803503997073136,0.060590089520614954,0.14303305189059884,0.12238187261924849,0.19643492563964576,0.1019250300082245,0.07023292933711833,0.043263473679373214,pyrimidine_nucleotide,0.19643492563964576
39,l-tyrosine,AminoAcids,0.0596809963189341,0.03692717459871242,0.1237818876550496,0.028412477459617835,0.03502349113024878,0.024566045926419477,0.03493085729426544,0.02286183356207167,aromatic_amino_acid,0.1237818876550496
40,l-valine,AminoAcids,0.12912631117097034,0.1154893982215955,0.06621811116051596,0.13577320847860408,0.11064687446819971,0.06500633857179447,0.09618463583382329,0.07316646935658036,purine_nucleotide,0.13577320847860408
41,lactose,Saccharides,0.17681733702455368,0.1492285073937303,0.13561798396944008,0.22076007401632367,0.03903343382401944,0.4141917681884025,0.22522407252388435,0.4537146439961543,nucleic_acid_backbone,0.4537146439961543
42,lauric acid,Lipids,0.11676945820843898,0.12551686552622124,0.018281941898571658,0.021638455139571716,0.013504080543263589,0.1737627588851723,0.020850026567474853,0.16349581810083677,glycan_carbohydrate,0.1737627588851723
43,malic acid,PrimaryMetabolites,0.0727023440296659,0.08350156304065699,0.01707286880424258,0.06345264115906735,0.10382443157874013,0.08604815946319169,0.04522788726607,0.08078087991569868,pyrimidine_nucleotide,0.10382443157874013
44,myristic acid,Lipids,0.13833652665665966,0.09808404203266197,0.017290406264262294,0.023115292993769933,0.008979313363365105,0.19350918875066925,0.01436066998511979,0.19005246334392806,glycan_carbohydrate,0.19350918875066925
45,n-acetyl- d-glucosamine,Saccharides,0.12768957919499363,0.19063470204451305,0.10026913623073772,0.13357119924743854,0.07605037391774572,0.21125401652029174,0.20038567218598693,0.17730911060758744,glycan_carbohydrate,0.21125401652029174
46,oleic acid,Lipids,0.17267438358079237,0.18349091691369337,0.062085732176169896,0.045409661976419186,0.03481210651968206,0.15737044525508637,0.030560556325420388,0.20096815674287075,nucleic_acid_backbone,0.20096815674287075
47,palmitic acid,Lipids,0.15112201170318337,0.09625509668556459,0.014817868844738884,0.020603562779873946,0.008783483841202644,0.18266796678219266,0.017660943721641217,0.18039406260429838,glycan_carbohydrate,0.18266796678219266
48,phosphoenolpyruvate,PrimaryMetabolites,0.10424194819976618,0.08149942535955204,0.05329812667836065,0.04832239387199374,0.18874540326385442,0.04937899318437379,0.02964162724322824,0.22323875564088677,nucleic_acid_backbone,0.22323875564088677
49,pyruvate,PrimaryMetabolites,0.12971669064765246,0.017050231743572,0.07794451903746741,0.030631380168778293,0.013106453773827404,0.012661870788533366,0.0175207850501412,0.014332629918594703,membrane_lipid,0.12971669064765246
50,riboﬂavin,Vitamins,0.08617035129154377,0.07414066663625894,0.06479213789216035,0.17253557949425344,0.08486444901853885,0.03933147277631321,0.0790853700858798,0.04273826813916619,purine_nucleotide,0.17253557949425344
51,stearic acid,Lipids,0.14072652065636818,0.07634991976404212,0.02071915837160941,0.013383300046257702,0.017987277601616447,0.08480535834940703,0.011595209363214929,0.09374842907167671,membrane_lipid,0.14072652065636818
52,succinic acid,PrimaryMetabolites,0.07692714635380708,0.06828788644885277,0.010013293212580588,0.055703472267602305,0.008540285967098285,0.029416490863472138,0.00830684030014865,0.01632174283930233,membrane_lipid,0.07692714635380708
53,thymine,NucleicAcids,0.06149645071247607,0.04838443657428061,0.04732938559022819,0.12675589472108476,0.17888134329706074,0.014657180887997797,0.053630318934867555,0.016573022924565896,pyrimidine_nucleotide,0.17888134329706074
54,trilinolein,Lipids,0.07808269517357175,0.1356822133218136,0.053302632669758626,0.027581086684011314,0.017786392448705602,0.10230686262984567,0.022590552910410216,0.09374900676198221,protein_backbone,0.1356822133218136
55,trilinolenin,Lipids,0.06530219017951436,0.10952226931527582,0.04630564819336577,0.01799960424411384,0.026886501302987736,0.08519913125750475,0.020346065609510862,0.047729634888894396,protein_backbone,0.10952226931527582
56,triolein,Lipids,0.16728303565066127,0.19822959121230835,0.06783244711358095,0.04621016902984737,0.039588018758047024,0.170507521791316,0.04122275184889802,0.20385531046855596,nucleic_acid_backbone,0.20385531046855596
57,uracil,NucleicAcids,0.034603015591164285,0.05874465684285775,0.018422872334866367,0.009193531626290455,0.13799466586598033,0.018754037209936753,0.026696403519731904,0.007924824032596433,pyrimidine_nucleotide,0.13799466586598033
58,vaccenic acid,Lipids,0.17248924832329432,0.18545618345291898,0.06080437375948911,0.0443149453437647,0.04188570604842218,0.16168408187048802,0.03169143281295416,0.1867797016425697,nucleic_acid_backbone,0.1867797016425697
59,β-carotene,Pigments,0.17766056760478344,0.07487879865268983,0.06178628304227106,0.010792174227364412,0.008328986116245135,0.030087393881917134,0.01551119022687288,0.023823489810356095,membrane_lipid,0.17766056760478344
60,β-d-glucose,Saccharides,0.0923044017058671,0.05917340070450551,0.11259000585994612,0.10764011260608593,0.03138920858648743,0.24280835773713413,0.12056447201944541,0.2815225240085362,nucleic_acid_backbone,0.2815225240085362
61,arachidonic acid,Lipids,0.06430209223192324,0.10923665314067177,0.039888358182458374,0.016635010055962414,0.020512640991598795,0.061965872385681034,0.015121134239920668,0.05648830096950806,protein_backbone,0.10923665314067177
62,α-linolenic acid,Lipids,0.0770385425473606,0.14837605289068526,0.035463925407560715,0.02657354813021341,0.012370734439270423,0.07285840390115461,0.023117935026703593,0.07442508409556686,protein_backbone,0.14837605289068526
63,arachidic acid,Lipids,0.1828899174021137,0.13038955305740285,0.01118916705409122,0.013892542103282718,0.008924363960959627,0.13676620547987903,0.007922854283623909,0.2524585592296739,nucleic_acid_backbone,0.2524585592296739
64,cholesterol,Lipids,0.28096164475161367,0.16654846166648934,0.09713429346956899,0.16851984236221199,0.08636935863812745,0.2006466820648839,0.08781926123183162,0.13358236932922374,membrane_lipid,0.28096164475161367
65,cholesteryl linoleate,Lipids,0.2559369017698323,0.3122419841257065,0.10666958681450237,0.13402182840853202,0.0519617336845673,0.21175074565638663,0.05258400063156224,0.22756542783711006,protein_backbone,0.3122419841257065
66,cholesteryl oleate,Lipids,0.2428575006478616,0.21870819498656535,0.09717929954428271,0.10043366034264604,0.06015102318082359,0.18066794959190358,0.030164181373091643,0.2227851967668556,membrane_lipid,0.2428575006478616
67,cholesteryl palmitate,Lipids,0.2543507764300499,0.1471253335920099,0.05910908424549473,0.10266287927893543,0.03947285978470173,0.1413960083850887,0.03853504555851105,0.12683643070981257,membrane_lipid,0.2543507764300499
68,cholesteryl stearate,Lipids,0.23311879341952152,0.1399876230361229,0.05335402483708775,0.07392264802378241,0.03430016341970954,0.11417917278670692,0.025582233351174266,0.13062245415127968,membrane_lipid,0.23311879341952152
69,elaidic acid,Lipids,0.16627272314000005,0.06369820666632964,0.007326362552879647,0.006976330762475076,0.02946956357113583,0.06073698190718941,0.003738954404840335,0.029903471172465616,membrane_lipid,0.16627272314000005
70,linoleic acid,Lipids,0.11526714027097543,0.16391522307715914,0.04392783906933245,0.03204338321715774,0.018708806722795908,0.08882853482395546,0.017040419378168654,0.09825568732253737,protein_backbone,0.16391522307715914
