perturbation,level,representation,molecule_top1,class_top1,class_top1_grouped,mean_confidence,ece
wavelength_shift,4.0,evidence,0.816,0.9493333333333334,0.6506666666666666,0.008385634195870288,0.8076143658041297
wavelength_shift,8.0,raw,0.8906666666666667,0.9546666666666667,0.5626666666666666,0.010885841807717412,0.8797808248589493
wavelength_shift,8.0,lsm,0.7546666666666667,0.8906666666666667,0.76,0.015093279853637863,0.7395733868130289
wavelength_shift,8.0,csm,0.776,0.9146666666666666,0.7706666666666667,0.015128858217375784,0.7608711417826243
wavelength_shift,8.0,evidence,0.7013333333333334,0.9013333333333333,0.6213333333333333,0.008297921996906666,0.6930354113364267
wavelength_shift,16.0,raw,0.6133333333333333,0.7786666666666666,0.4826666666666667,0.010144060639114615,0.6031892726942186
wavelength_shift,16.0,lsm,0.536,0.7413333333333333,0.616,0.014151033362810699,0.5218489666371894
wavelength_shift,16.0,csm,0.544,0.7466666666666667,0.6213333333333333,0.014131775548069377,0.5298682244519307
wavelength_shift,16.0,evidence,0.45866666666666667,0.7013333333333334,0.52,0.008125521753395362,0.4505411449132713
intensity_scaling,0.1,raw,0.9653333333333334,0.992,0.592,0.011591801318862368,0.953741532014471
intensity_scaling,0.1,lsm,0.8933333333333333,0.9706666666666667,0.848,0.015809210882035137,0.8775241224512982
intensity_scaling,0.1,csm,0.8986666666666666,0.9733333333333334,0.8453333333333334,0.01581831039022311,0.8828483562764435
intensity_scaling,0.1,evidence,0.8693333333333333,0.968,0.664,0.008426217300962413,0.8609071160323709
intensity_scaling,0.25,raw,0.9653333333333334,0.992,0.592,0.011591801318862368,0.953741532014471
intensity_scaling,0.25,lsm,0.8933333333333333,0.9706666666666667,0.848,0.015809210882035137,0.8775241224512982
intensity_scaling,0.25,csm,0.8986666666666666,0.9733333333333334,0.8453333333333334,0.01581831039022311,0.8828483562764435
intensity_scaling,0.25,evidence,0.8693333333333333,0.968,0.664,0.008426217300962414,0.8609071160323709
intensity_scaling,0.5,raw,0.9653333333333334,0.992,0.592,0.011591801318862368,0.953741532014471
intensity_scaling,0.5,lsm,0.8933333333333333,0.9706666666666667,0.848,0.015809210882035137,0.8775241224512982
intensity_scaling,0.5,csm,0.8986666666666666,0.9733333333333334,0.8453333333333334,0.01581831039022311,0.8828483562764435
intensity_scaling,0.5,evidence,0.8693333333333333,0.968,0.664,0.008426217300962414,0.8609071160323709
intensity_scaling,1.0,raw,0.9653333333333334,0.992,0.592,0.011591801318862368,0.953741532014471
intensity_scaling,1.0,lsm,0.8933333333333333,0.9706666666666667,0.848,0.015809210882035137,0.8775241224512982
intensity_scaling,1.0,csm,0.8986666666666666,0.9733333333333334,0.8453333333333334,0.01581831039022311,0.8828483562764435
intensity_scaling,1.0,evidence,0.8693333333333333,0.968,0.664,0.008426217300962414,0.8609071160323709
intensity_scaling,2.0,raw,0.9653333333333334,0.992,0.592,0.011591801318862368,0.953741532014471
intensity_scaling,2.0,lsm,0.8933333333333333,0.9706666666666667,0.848,0.015809210882035137,0.8775241224512982
intensity_scaling,2.0,csm,0.8986666666666666,0.9733333333333334,0.8453333333333334,0.01581831039022311,0.8828483562764435
intensity_scaling,2.0,evidence,0.8693333333333333,0.968,0.664,0.008426217300962414,0.8609071160323709
band_broadening,1.0,raw,0.9653333333333334,0.992,0.592,0.01158289387215343,0.95375043946118
band_broadening,1.0,lsm,0.8986666666666666,0.9733333333333334,0.848,0.015806749689307016,0.8828599169773595
band_broadening,1.0,csm,0.9013333333333333,0.9733333333333334,0.8453333333333334,0.01581603805244262,0.8855172952808907
band_broadening,1.0,evidence,0.8693333333333333,0.968,0.664,0.008423428208139046,0.8609099051251943
band_broadening,2.0,raw,0.968,0.9946666666666667,0.5893333333333334,0.011546548475360276,0.9564534515246397
band_broadening,2.0,lsm,0.896,0.9733333333333334,0.84,0.015794827318907197,0.8802051726810928
