threshold,fpr,tpr
1.553797397203851,0.0026666666666666666,0.208
1.5713308915594886,0.0026666666666666666,0.20133333333333334
1.5888643859151257,0.0026666666666666666,0.19733333333333333
1.6063978802707632,0.0026666666666666666,0.18666666666666668
1.6239313746264008,0.0026666666666666666,0.17733333333333334
1.6414648689820384,0.0026666666666666666,0.17066666666666666
1.658998363337676,0.0026666666666666666,0.16133333333333333
1.6765318576933135,0.0026666666666666666,0.15066666666666667
1.6940653520489506,0.0026666666666666666,0.14666666666666667
1.7115988464045881,0.0,0.13733333333333334
1.7291323407602257,0.0,0.132
1.7466658351158633,0.0,0.12933333333333333
1.7641993294715008,0.0,0.12666666666666668
1.7817328238271384,0.0,0.12133333333333333
1.7992663181827755,0.0,0.11066666666666666
1.816799812538413,0.0,0.10533333333333333
1.8343333068940506,0.0,0.10133333333333333
1.8518668012496882,0.0,0.09466666666666666
1.8694002956053257,0.0,0.08933333333333333
1.8869337899609628,0.0,0.08666666666666667
1.9044672843166004,0.0,0.08133333333333333
1.922000778672238,0.0,0.07333333333333333
1.9395342730278755,0.0,0.06933333333333333
1.957067767383513,0.0,0.064
1.9746012617391506,0.0,0.06
1.9921347560947877,0.0,0.05733333333333333
2.0096682504504253,0.0,0.04533333333333334
2.027201744806063,0.0,0.03866666666666667
2.0447352391617004,0.0,0.036
2.062268733517338,0.0,0.034666666666666665
2.079802227872975,0.0,0.03333333333333333
2.0973357222286126,0.0,0.029333333333333333
2.11486921658425,0.0,0.029333333333333333
2.1324027109398878,0.0,0.02666666666666667
2.1499362052955253,0.0,0.025333333333333333
2.167469699651163,0.0,0.024
2.1850031940068,0.0,0.02266666666666667
2.2025366883624375,0.0,0.02266666666666667
2.220070182718075,0.0,0.02266666666666667
2.2376036770737127,0.0,0.02266666666666667
2.25513717142935,0.0,0.018666666666666668
2.2726706657849873,0.0,0.017333333333333333
2.290204160140625,0.0,0.016
2.3077376544962624,0.0,0.014666666666666666
2.3252711488519,0.0,0.012
2.3428046432075376,0.0,0.010666666666666666
2.360338137563175,0.0,0.006666666666666667
2.3778716319188122,0.0,0.004
2.39540512627445,0.0,0.004
2.4129386206300873,0.0,0.0026666666666666666
2.430472114985725,0.0,0.0013333333333333333
2.4480056093413625,0.0,0.0013333333333333333
2.465539103697,0.0,0.0013333333333333333
2.483072598052637,0.0,0.0013333333333333333
2.5006060924082747,0.0,0.0013333333333333333
2.5181395867639123,0.0,0.0013333333333333333
2.53567308111955,0.0,0.0013333333333333333
2.5532065754751874,0.0,0.0013333333333333333
2.5707400698308245,0.0,0.0013333333333333333
2.5882735641864625,0.0,0.0
