motif_id,acylglycerol.m00,acylglycerol.m01,acylglycerol.m02,carboxylic_acid_metabolite.m00,carboxylic_acid_metabolite.m01,chromophore_pigment.m00,chromophore_pigment.m01,fatty_acid.m00,fatty_acid.m01,fatty_acid.m02,fatty_acid.m03,fatty_acid.m04,free_amino_acid.m00,free_amino_acid.m01,free_amino_acid.m02,free_amino_acid.m03,free_amino_acid.m04,free_amino_acid.m05,free_amino_acid.m06,mono_oligosaccharide.m00,mono_oligosaccharide.m01,mono_oligosaccharide.m02,mono_oligosaccharide.m03,mono_oligosaccharide.m04,mono_oligosaccharide.m05,nucleic_acid_polymer.m00,peptide_protein.m00,peptide_protein.m01,peptide_protein.m02,peptide_protein.m03,peptide_protein.m04,peptide_protein.m05,peptide_protein.m06,peptide_protein.m07,peptide_protein.m08,peptide_protein.m09,phosphate_metabolite.m00,phospholipid_sphingolipid.m00,phospholipid_sphingolipid.m01,polysaccharide.m00,polysaccharide.m01,purine.m00,purine.m01,pyrimidine.m00,small_nitrogenous.m00,sterol_steroid.m00,sterol_steroid.m01,sterol_steroid.m02,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor.m01
peptide_protein.m04,0.587,0.4481,0.5892,0.3194,0.4561,0.1428,0.2768,0.4403,0.3864,0.5977,0.5292,0.5781,0.3105,0.462,0.1519,0.2413,0.1744,0.3023,0.4088,0.3609,0.4376,0.3659,0.4025,0.4804,0.1934,0.488,0.6861,0.2102,0.2995,0.4099,1.0,0.603,0.6149,0.6004,0.5956,0.2543,0.3985,0.6412,0.4608,0.4272,0.2965,0.4916,0.2408,0.3575,0.262,0.6546,0.2571,0.339,0.4256,0.3745
peptide_protein.m05,0.6504,0.6178,0.5277,0.4683,0.5336,0.1391,0.4252,0.3542,0.5157,0.578,0.6597,0.5462,0.4743,0.3155,0.2407,0.3876,0.3858,0.2497,0.48,0.2869,0.2148,0.3509,0.4028,0.3287,0.2671,0.3965,0.785,0.2653,0.291,0.4106,0.603,1.0,0.8087,0.697,0.7662,0.3024,0.4554,0.682,0.5226,0.4118,0.3507,0.5543,0.277,0.2502,0.3164,0.7674,0.3234,0.4101,0.5909,0.3282
peptide_protein.m06,0.4768,0.544,0.3778,0.3923,0.5333,0.1494,0.3145,0.2529,0.4615,0.3943,0.5214,0.3819,0.3043,0.2648,0.1748,0.2582,0.5457,0.2721,0.3561,0.2913,0.278,0.2667,0.3853,0.3471,0.1729,0.3791,0.8406,0.1969,0.2965,0.3335,0.6149,0.8087,1.0,0.7152,0.7332,0.3209,0.4051,0.5372,0.4727,0.3462,0.2652,0.4682,0.26,0.3347,0.3787,0.6476,0.3092,0.3896,0.4712,0.3182
peptide_protein.m07,0.5242,0.4998,0.3707,0.5536,0.5064,0.1352,0.4897,0.3194,0.4459,0.3716,0.5291,0.3943,0.4956,0.5475,0.3715,0.3128,0.3997,0.5793,0.4442,0.3139,0.4411,0.3509,0.5077,0.3631,0.2444,0.3659,0.6594,0.2891,0.3999,0.435,0.6004,0.697,0.7152,1.0,0.6962,0.39,0.5188,0.5503,0.6085,0.4713,0.2975,0.5267,0.4058,0.2427,0.3779,0.6394,0.4717,0.5097,0.5886,0.451
peptide_protein.m08,0.6328,0.5347,0.4698,0.5252,0.4793,0.0822,0.4982,0.368,0.4469,0.4522,0.6685,0.4764,0.6183,0.3332,0.3085,0.3756,0.2759,0.252,0.472,0.3433,0.2179,0.3342,0.4259,0.3322,0.2007,0.4032,0.755,0.3034,0.271,0.3794,0.5956,0.7662,0.7332,0.6962,1.0,0.4298,0.4024,0.6636,0.4735,0.4249,0.2951,0.4879,0.4077,0.2851,0.2734,0.744,0.2504,0.3872,0.5901,0.2961
peptide_protein.m09,0.1748,0.1605,0.1716,0.2362,0.2915,0.1369,0.818,0.1594,0.1946,0.1431,0.1259,0.1709,0.3965,0.2544,0.1873,0.1774,0.3798,0.2482,0.3023,0.2351,0.164,0.2329,0.4518,0.1482,0.2238,0.4782,0.2286,0.7408,0.1527,0.289,0.2543,0.3024,0.3209,0.39,0.4298,1.0,0.3803,0.1697,0.3605,0.3788,0.3317,0.3333,0.309,0.2402,0.1852,0.201,0.4743,0.3548,0.4184,0.2295
phosphate_metabolite.m00,0.3559,0.2454,0.3122,0.6245,0.5296,0.1769,0.3633,0.3144,0.2483,0.3488,0.2895,0.3435,0.5702,0.4182,0.308,0.3826,0.2891,0.417,0.6651,0.5056,0.4455,0.5026,0.6294,0.4734,0.4264,0.4912,0.4057,0.3555,0.4083,0.6074,0.3985,0.4554,0.4051,0.5188,0.4024,0.3803,1.0,0.3537,0.6937,0.6212,0.4527,0.5938,0.3248,0.4225,0.3079,0.4237,0.3592,0.5349,0.6302,0.4046
phospholipid_sphingolipid.m00,0.8988,0.6361,0.8319,0.524,0.4406,0.0505,0.2081,0.7359,0.5111,0.6425,0.8915,0.797,0.3876,0.2548,0.2186,0.3077,0.1111,0.1784,0.5721,0.316,0.2527,0.3213,0.3254,0.4107,0.1941,0.3227,0.6618,0.1654,0.2841,0.334,0.6412,0.682,0.5372,0.5503,0.6636,0.1697,0.3537,1.0,0.4277,0.3185,0.3713,0.4779,0.1794,0.1928,0.1993,0.8603,0.2779,0.3721,0.5195,0.2643
phospholipid_sphingolipid.m01,0.4418,0.3448,0.3242,0.5219,0.6836,0.2756,0.4755,0.3147,0.3299,0.3584,0.3706,0.3345,0.5395,0.5061,0.4781,0.469,0.3582,0.4379,0.6233,0.6157,0.4502,0.5271,0.6282,0.591,0.512,0.5765,0.4629,0.376,0.5428,0.6623,0.4608,0.5226,0.4727,0.6085,0.4735,0.3605,0.6937,0.4277,1.0,0.6883,0.55,0.7527,0.4266,0.3793,0.4623,0.4781,0.4246,0.5337,0.7645,0.4607
polysaccharide.m00,0.3371,0.2022,0.2901,0.4192,0.6855,0.2515,0.4106,0.2947,0.1972,0.3521,0.2653,0.3053,0.5798,0.4993,0.2789,0.4148,0.2551,0.3186,0.4603,0.4799,0.4644,0.5158,0.7214,0.4528,0.4834,0.4293,0.3456,0.3952,0.3836,0.9701,0.4272,0.4118,0.3462,0.4713,0.4249,0.3788,0.6212,0.3185,0.6883,1.0,0.5561,0.5703,0.3194,0.2482,0.2431,0.3762,0.2592,0.4321,0.6101,0.2684
polysaccharide.m01,0.3055,0.2283,0.2828,0.2654,0.6548,0.18,0.3125,0.3411,0.2118,0.3336,0.2888,0.3244,0.3927,0.2667,0.1787,0.4444,0.1227,0.1994,0.4267,0.4444,0.324,0.5037,0.6054,0.2887,0.6549,0.4731,0.3169,0.3456,0.2825,0.6465,0.2965,0.3507,0.2652,0.2975,0.2951,0.3317,0.4527,0.3713,0.55,0.5561,1.0,0.4555,0.2369,0.2228,0.2024,0.3139,0.3334,0.3129,0.5387,0.2518
purine.m00,0.4272,0.3473,0.3603,0.5005,0.6329,0.2134,0.4187,0.3725,0.3423,0.3169,0.3782,0.327,0.5623,0.384,0.4054,0.427,0.3309,0.2952,0.5377,0.4526,0.2977,0.4396,0.5563,0.517,0.3637,0.5478,0.454,0.3531,0.4133,0.5414,0.4916,0.5543,0.4682,0.5267,0.4879,0.3333,0.5938,0.4779,0.7527,0.5703,0.4555,1.0,0.2819,0.364,0.3245,0.4771,0.3617,0.5999,0.8299,0.4475
purine.m01,0.1796,0.153,0.1111,0.3227,0.2674,0.0773,0.2915,0.1205,0.1394,0.0865,0.172,0.112,0.3648,0.226,0.3508,0.2146,0.1219,0.2899,0.3092,0.2839,0.2001,0.2829,0.294,0.1388,0.1372,0.2976,0.2734,0.2299,0.1535,0.2866,0.2408,0.277,0.26,0.4058,0.4077,0.309,0.3248,0.1794,0.4266,0.3194,0.2369,0.2819,1.0,0.1848,0.1239,0.2517,0.1427,0.3217,0.4044,0.2425
pyrimidine.m00,0.1376,0.2825,0.0907,0.368,0.3054,0.1083,0.2386,0.0784,0.2897,0.1186,0.1391,0.1083,0.2595,0.158,0.124,0.1512,0.1211,0.2106,0.2741,0.2961,0.1585,0.2617,0.3181,0.2923,0.1872,0.5623,0.3728,0.2235,0.1244,0.206,0.3575,0.2502,0.3347,0.2427,0.2851,0.2402,0.4225,0.1928,0.3793,0.2482,0.2228,0.364,0.1848,1.0,0.21,0.2168,0.2224,0.3155,0.3554,0.2018
