chemical_class,molecule,k_c,ev,rmse,cosine,residual_energy,band_ev,n_bands,n_motifs_used
mono_oligosaccharide,(+)-glucose,6,0.94819,0.00822,0.97375,0.05181,0.97052,13,4
mono_oligosaccharide,(+)-lactose,6,0.63886,0.02243,0.79929,0.36114,0.72762,21,6
mono_oligosaccharide,(+)-maltose,6,0.73441,0.01982,0.85698,0.26559,0.74168,17,4
mono_oligosaccharide,(+)-mannose,6,0.72448,0.01949,0.85116,0.27552,0.76592,29,6
mono_oligosaccharide,(+)-raffinose pentahydrate,6,0.65501,0.02259,0.80933,0.34499,0.68916,22,4
mono_oligosaccharide,(+)-sucrose,6,0.6757,0.0219,0.82201,0.3243,0.74209,16,4
mono_oligosaccharide,(+)-trehalose,6,0.78428,0.01786,0.8856,0.21572,0.84509,22,5
mono_oligosaccharide,(+)-xylose,6,0.93177,0.00987,0.96528,0.06823,0.95995,17,2
mono_oligosaccharide,(-)-arabinose,6,0.93073,0.01012,0.96474,0.06927,0.97026,15,1
mono_oligosaccharide,(-)-fructose,6,0.68958,0.02125,0.83041,0.31042,0.80124,16,2
mono_oligosaccharide,(-)-ribose,6,0.78447,0.01786,0.88571,0.21553,0.82303,21,3
mono_oligosaccharide,2-deoxy-d-ribose,6,0.75012,0.01923,0.86609,0.24988,0.80009,22,2
mono_oligosaccharide,glucosamine,6,0.78757,0.01773,0.88746,0.21243,0.84727,26,2
mono_oligosaccharide,glycerol,6,0.70351,0.02088,0.83876,0.29649,0.80132,11,4
mono_oligosaccharide,n-acetylglucosamine,6,0.74736,0.01918,0.8645,0.25264,0.80782,23,2
mono_oligosaccharide,β-d-glucose,6,0.94006,0.00942,0.96956,0.05994,0.96602,16,2
nucleic_acid_polymer,a-dna,1,0.94558,0.00897,0.97241,0.05442,0.96731,22,1
nucleic_acid_polymer,b-dna,1,0.89679,0.01236,0.94699,0.10321,0.93871,24,1
nucleic_acid_polymer,t-rna,1,0.91031,0.01152,0.9541,0.08969,0.95768,20,1
peptide_protein,albumin,10,0.96688,0.00656,0.9833,0.03312,0.98896,18,5
peptide_protein,carbonic anhydrase,10,0.98498,0.00465,0.99246,0.01502,0.99439,15,4
peptide_protein,collagen,10,0.96315,0.00732,0.9814,0.03685,0.97565,14,5
peptide_protein,cytochrome c,10,0.97939,0.00483,0.98964,0.02061,0.98902,19,1
peptide_protein,elastase,10,0.97866,0.0055,0.98927,0.02134,0.97963,15,7
peptide_protein,elastin,10,0.95716,0.00796,0.97835,0.04284,0.96251,18,4
peptide_protein,ferritin,10,0.95667,0.00742,0.9781,0.04333,0.9627,26,9
peptide_protein,glucose oxidase,10,0.99744,0.00186,0.99872,0.00256,0.9985,16,2
peptide_protein,glutathione transferase,10,0.97631,0.0059,0.98808,0.02369,0.98807,17,7
peptide_protein,hemoglobin,10,0.97067,0.00605,0.98523,0.02933,0.98396,15,2
peptide_protein,horseradish peroxidase,10,0.97707,0.00563,0.98847,0.02293,0.9827,21,3
peptide_protein,insulin,10,0.98328,0.00497,0.9916,0.01672,0.98849,17,4
peptide_protein,keratin,10,0.93796,0.00958,0.96848,0.06204,0.96703,17,4
peptide_protein,lactalbumin,10,0.97431,0.00608,0.98707,0.02569,0.98718,16,7
peptide_protein,lectin,10,0.99174,0.00343,0.99586,0.00826,0.99662,15,4
peptide_protein,major proteinase,10,0.96929,0.00669,0.98453,0.03071,0.98051,17,5
peptide_protein,myoglobin,10,0.98521,0.0045,0.99258,0.01479,0.98978,11,2
peptide_protein,papain,10,0.94965,0.00841,0.9745,0.05035,0.95203,17,5
peptide_protein,pepsin,10,0.96008,0.00743,0.97984,0.03992,0.96505,14,8
peptide_protein,pepsinogen,10,0.98548,0.00452,0.99271,0.01452,0.99508,15,7
peptide_protein,superoxide dismutases,10,0.98321,0.00489,0.99157,0.01679,0.99048,15,6
peptide_protein,thaumatin,10,0.98478,0.00464,0.99236,0.01522,0.98681,17,6
peptide_protein,triosephosphate isomerase,10,0.96909,0.00659,0.98442,0.03091,0.97202,23,5
peptide_protein,trypsin,10,0.98693,0.00435,0.99344,0.01307,0.99088,13,6
peptide_protein,trypsin inhibitor,10,0.95317,0.00826,0.97631,0.04683,0.94475,15,6
peptide_protein,trypsinogen,10,0.98158,0.00512,0.99075,0.01842,0.98607,13,8
peptide_protein,tubulin,10,0.99809,0.00168,0.99904,0.00191,0.9995,12,1
peptide_protein,ubiquitin,10,0.97624,0.00587,0.98805,0.02376,0.98792,11,5
peptide_protein,xylanase,10,0.9957,0.0025,0.99785,0.0043,0.99893,13,1
peptide_protein,α-chymotrypsinogen a (type ii),10,0.98019,0.00535,0.99004,0.01981,0.99103,12,6
phosphate_metabolite,fructose-6-phosphate,1,0.67005,0.02193,0.81857,0.32995,0.79121,9,1
phosphate_metabolite,phosphate,1,0.55898,0.02545,0.74765,0.44102,0.67061,9,1
phosphate_metabolite,phosphoenolpyruvate,1,0.49075,0.02445,0.70053,0.50925,0.54521,17,1
phospholipid_sphingolipid,ceramide,2,0.90999,0.01144,0.95394,0.09001,0.95575,6,1
phospholipid_sphingolipid,phosphatidylinositol,2,0.9981,0.00166,0.99905,0.0019,0.99899,32,1
phospholipid_sphingolipid,sphingomyelin,2,0.94341,0.00915,0.97129,0.05659,0.94118,10,1
phospholipid_sphingolipid,α-phosphatidylcholine,2,0.93738,0.00962,0.96818,0.06262,0.94628,8,2
phospholipid_sphingolipid,α-phosphatidylethanolamine,2,0.91359,0.01131,0.95582,0.08641,0.95204,7,2
polysaccharide,amylopectin,2,0.96378,0.00724,0.98172,0.03622,0.9756,14,1
polysaccharide,amylose,2,0.98234,0.00506,0.99113,0.01766,0.99772,14,2
polysaccharide,cellulose,2,0.88122,0.01326,0.93874,0.11878,0.93148,12,1
polysaccharide,chitin,2,0.86883,0.01393,0.93211,0.13117,0.90749,17,2
polysaccharide,glycogen,2,0.90318,0.01149,0.95036,0.09682,0.89838,29,2
purine,adenine,2,0.58203,0.02451,0.76291,0.41797,0.70741,16,2
purine,guanine,2,0.76792,0.0184,0.87631,0.23208,0.92859,15,1
purine,hypoxanthine,2,0.76461,0.0186,0.87442,0.23539,0.8449,26,2
purine,urate,2,0.49487,0.02733,0.70348,0.50513,0.66873,18,1
purine,xanthine,2,0.74637,0.01937,0.86393,0.25363,0.86111,15,2
pyrimidine,cytosine,1,0.75249,0.01913,0.86746,0.24751,0.86101,13,1
pyrimidine,thymine,1,0.13031,0.03577,0.36098,0.86969,0.19981,15,1
pyrimidine,uracil,1,0.73715,0.01965,0.85857,0.26285,0.86837,13,1
small_nitrogenous,creatinine,1,0.91067,0.01149,0.95429,0.08933,0.99034,14,1
small_nitrogenous,urea,1,0.12307,0.03351,0.35081,0.87693,0.2048,3,1
