canonical_id,source_forms,fine_class,broad_class,old_family,expected_theme,primary_motif,conflict
tyrosine,tyrosine,free_amino_acid,protein_amino_acid,amino_acid,Protein chemistry,aromatic_ring_residue,False
ubiquitin,ubiquitin,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
uracil,uracil,pyrimidine,nucleic,pyrimidine,Nucleic chemistry,pyrimidine_ring,False
urate,urate,purine,nucleic,purine,Nucleic chemistry,oxopurine_carbonyl,False
urea,ure;urea,small_nitrogenous,energy_metabolism,small_nitrogenous,,,True
vaccenic acid,vaccenic acid,fatty_acid,lipid,organic_acid,Lipid chemistry,fatty_acyl_chain,False
valine,valine,free_amino_acid,protein_amino_acid,amino_acid,Protein chemistry,amino_acid_zwitterion,False
xanthine,xanthine,purine,nucleic,purine,Nucleic chemistry,oxopurine_carbonyl,False
xylanase,xylanase,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
α-linolenic acid,α-linolenic acid,fatty_acid,lipid,fatty_acid,Lipid chemistry,fatty_acyl_chain,False
α-phosphatidylcholine,α-phosphatidylcholine,phospholipid_sphingolipid,lipid,unknown,Carbohydrate chemistry,nucleic_backbone_phosphate,False
α-phosphatidylethanolamine,α-phosphatidylethanolamine,phospholipid_sphingolipid,lipid,unknown,Carbohydrate chemistry,nucleic_backbone_phosphate,False
β-carotene,β-carotene,chromophore_pigment,redox_cofactor,carotenoid,Protein chemistry,carotenoid_polyene,False
β-d-glucose,β-d-glucose,mono_oligosaccharide,carbohydrate,saccharide,Carbohydrate chemistry,glycan_co_network,False
