spectrum_id,analyte,source,excitation_nm,snr_estimate,snr_score,grid_coverage,n_nan_bins,contrast,n_peaks,peak_density,quality_score,qc_pass,q_version,canonical_id,weight_quality,weight_uniform
ramanbiolib::122,hemoglobin,RamanBioLib,532.0,293.765,0.8348,1.0,0,0.9243,31,1.0,0.937236,True,v7_q_v2,hemoglobin,0.49666281059443035,0.5
ramanbiolib::123,lectin,RamanBioLib,488.0,448.018,0.9659,1.0,0,0.884,19,0.6333,0.857544,True,v7_q_v2,lectin,0.32515193200483516,0.3333333333333333
ramanbiolib::124,lectin,RamanBioLib,532.0,420.886,0.9465,1.0,0,0.8789,20,0.6667,0.862969,True,v7_q_v2,lectin,0.32720891010872977,0.3333333333333333
ramanbiolib::125,lectin,RamanBioLib,1064.0,272.416,0.8113,1.0,0,0.871,34,1.0,0.916851,True,v7_q_v2,lectin,0.3476391578864351,0.3333333333333333
ramanbiolib::126,myoglobin,RamanBioLib,488.0,352.589,0.8915,1.0,0,0.8809,31,1.0,0.941376,True,v7_q_v2,myoglobin,0.5044663072328509,0.5
ramanbiolib::127,myoglobin,RamanBioLib,532.0,265.997,0.8039,1.0,0,0.9095,31,1.0,0.924707,True,v7_q_v2,myoglobin,0.49553369276714915,0.5
ramanbiolib::128,papain,RamanBioLib,488.0,227.67,0.7556,1.0,0,0.8304,22,0.7333,0.823613,True,v7_q_v2,papain,0.31924630223185924,0.3333333333333333
ramanbiolib::129,papain,RamanBioLib,532.0,187.69,0.6956,1.0,0,0.8429,28,0.9333,0.860078,True,v7_q_v2,papain,0.3333807517984454,0.3333333333333333
ramanbiolib::130,papain,RamanBioLib,1064.0,211.112,0.7321,1.0,0,0.881,34,1.0,0.896176,True,v7_q_v2,papain,0.3473729459696953,0.3333333333333333
ramanbiolib::131,pepsin,RamanBioLib,488.0,498.079,0.9988,1.0,0,0.8651,21,0.7,0.881896,True,v7_q_v2,pepsin,0.3358576405008296,0.3333333333333333
ramanbiolib::132,pepsin,RamanBioLib,532.0,270.487,0.8091,1.0,0,0.8542,27,0.9,0.888098,True,v7_q_v2,pepsin,0.33821958463753754,0.3333333333333333
ramanbiolib::133,pepsin,RamanBioLib,1064.0,164.079,0.6538,1.0,0,0.8204,36,1.0,0.855809,True,v7_q_v2,pepsin,0.3259227748616328,0.3333333333333333
ramanbiolib::134,pepsinogen,RamanBioLib,488.0,383.626,0.9177,1.0,0,0.8398,21,0.7,0.857027,True,v7_q_v2,pepsinogen,0.3313658221421952,0.3333333333333333
ramanbiolib::135,pepsinogen,RamanBioLib,532.0,466.361,0.9784,1.0,0,0.8983,18,0.6,0.852165,True,v7_q_v2,pepsinogen,0.32948595064776687,0.3333333333333333
ramanbiolib::136,pepsinogen,RamanBioLib,1064.0,419.403,0.9454,1.0,0,0.8945,21,0.7,0.877155,True,v7_q_v2,pepsinogen,0.33914822721003796,0.3333333333333333
ramanbiolib::137,major proteinase,RamanBioLib,488.0,458.134,0.9728,1.0,0,0.8946,21,0.7,0.883467,True,v7_q_v2,major proteinase,0.3306119974537996,0.3333333333333333
ramanbiolib::138,major proteinase,RamanBioLib,532.0,336.516,0.877,1.0,0,0.8791,24,0.8,0.886187,True,v7_q_v2,major proteinase,0.3316298788608859,0.3333333333333333
ramanbiolib::139,major proteinase,RamanBioLib,1064.0,418.776,0.9449,1.0,0,0.916,23,0.7667,0.902563,True,v7_q_v2,major proteinase,0.3377581236853145,0.3333333333333333
ramanbiolib::140,superoxide dismutases,RamanBioLib,488.0,928.507,1.0,1.0,0,0.9157,15,0.5,0.822578,True,v7_q_v2,superoxide dismutases,0.3184576419876686,0.3333333333333333
ramanbiolib::141,superoxide dismutases,RamanBioLib,532.0,794.141,1.0,1.0,0,0.9213,16,0.5333,0.83723,True,v7_q_v2,superoxide dismutases,0.32413010267881687,0.3333333333333333
ramanbiolib::142,superoxide dismutases,RamanBioLib,1064.0,298.468,0.8397,1.0,0,0.8651,31,1.0,0.923198,True,v7_q_v2,superoxide dismutases,0.3574122553335145,0.3333333333333333
ramanbiolib::143,trypsinogen,RamanBioLib,488.0,491.255,0.9945,1.0,0,0.885,19,0.6333,0.864069,True,v7_q_v2,trypsinogen,0.32969288355215715,0.3333333333333333
ramanbiolib::144,trypsinogen,RamanBioLib,532.0,474.065,0.9835,1.0,0,0.8775,18,0.6,0.848286,True,v7_q_v2,trypsinogen,0.32367074552718034,0.3333333333333333
ramanbiolib::145,trypsinogen,RamanBioLib,1064.0,243.752,0.7768,1.0,0,0.8769,36,1.0,0.908475,True,v7_q_v2,trypsinogen,0.3466363709206626,0.3333333333333333
ramanbiolib::146,trypsin inhibitor,RamanBioLib,488.0,508.135,1.0,1.0,0,0.8811,22,0.7333,0.896558,True,v7_q_v2,trypsin inhibitor,0.3364778434385248,0.3333333333333333
ramanbiolib::147,trypsin inhibitor,RamanBioLib,532.0,430.877,0.9538,1.0,0,0.8789,21,0.7,0.875227,True,v7_q_v2,trypsin inhibitor,0.32847232803585463,0.3333333333333333
