perturbation,level,model,top1,top5,mrr
baseline_drift,0.4,C_chemistry_rerank,0.7386666666666667,0.96,0.8352730158730158
baseline_drift,0.8,A_raw_spectrum,0.6906666666666667,0.8453333333333334,0.7648756319707299
baseline_drift,0.8,B_csm,0.584,0.848,0.7022688812955508
baseline_drift,0.8,C_chemistry_rerank,0.584,0.848,0.7022688812955508
intensity_scaling,0.1,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
intensity_scaling,0.1,B_csm,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,0.1,C_chemistry_rerank,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,0.25,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
intensity_scaling,0.25,B_csm,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,0.25,C_chemistry_rerank,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,0.5,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
intensity_scaling,0.5,B_csm,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,0.5,C_chemistry_rerank,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,1.0,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
intensity_scaling,1.0,B_csm,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,1.0,C_chemistry_rerank,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,2.0,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
intensity_scaling,2.0,B_csm,0.8986666666666666,0.9973333333333333,0.942871794871795
intensity_scaling,2.0,C_chemistry_rerank,0.8986666666666666,0.9973333333333333,0.942871794871795
wavelength_shift,1.0,A_raw_spectrum,0.968,1.0,0.9815555555555555
wavelength_shift,1.0,B_csm,0.8933333333333333,0.9973333333333333,0.940294017094017
wavelength_shift,1.0,C_chemistry_rerank,0.8933333333333333,0.9973333333333333,0.940294017094017
