molecule,true_class,fold,rank_csm,rank_chem,moved,helped,hurt
succinic acid,carboxylic_acid_metabolite,2,154,154,0,False,False
superoxide dismutases,peptide_protein,1,1,1,0,False,False
superoxide dismutases,peptide_protein,1,1,1,0,False,False
superoxide dismutases,peptide_protein,1,3,3,0,False,False
t-rna,nucleic_acid_polymer,2,154,154,0,False,False
thaumatin,peptide_protein,2,3,3,0,False,False
thaumatin,peptide_protein,2,4,4,0,False,False
thaumatin,peptide_protein,2,5,5,0,False,False
thymine,pyrimidine,3,1,1,0,False,False
thymine,pyrimidine,3,1,1,0,False,False
thymine,pyrimidine,3,1,1,0,False,False
thymine,pyrimidine,3,1,1,0,False,False
tri-11-eicosenoin,acylglycerol,2,154,154,0,False,False
triarachidin,acylglycerol,3,154,154,0,False,False
tribehenin,acylglycerol,2,154,154,0,False,False
tricaprin,acylglycerol,3,154,154,0,False,False
tricaproin,acylglycerol,1,154,154,0,False,False
tricaprylin,acylglycerol,2,154,154,0,False,False
trielaidin,acylglycerol,3,154,154,0,False,False
trierucin,acylglycerol,0,154,154,0,False,False
trilaurin,acylglycerol,0,154,154,0,False,False
trilinolein,acylglycerol,0,4,4,0,False,False
trilinolein,acylglycerol,0,1,1,0,False,False
trilinolenin,acylglycerol,1,3,3,0,False,False
trilinolenin,acylglycerol,1,2,2,0,False,False
trimyristin,acylglycerol,1,154,154,0,False,False
triolein,acylglycerol,4,1,1,0,False,False
triolein,acylglycerol,4,2,2,0,False,False
triolein,acylglycerol,4,1,1,0,False,False
triolein,acylglycerol,4,1,1,0,False,False
triolein,acylglycerol,4,1,1,0,False,False
triosephosphate isomerase,peptide_protein,3,1,1,0,False,False
triosephosphate isomerase,peptide_protein,3,1,1,0,False,False
triosephosphate isomerase,peptide_protein,3,1,1,0,False,False
tripalmitin,acylglycerol,2,154,154,0,False,False
tripalmitolein,acylglycerol,3,154,154,0,False,False
tripetroselinin,acylglycerol,0,154,154,0,False,False
tristearin,acylglycerol,1,154,154,0,False,False
trypsin,peptide_protein,4,1,1,0,False,False
trypsin,peptide_protein,4,2,2,0,False,False
trypsin,peptide_protein,4,3,3,0,False,False
trypsin inhibitor,peptide_protein,0,1,1,0,False,False
trypsin inhibitor,peptide_protein,0,1,1,0,False,False
trypsin inhibitor,peptide_protein,0,2,2,0,False,False
trypsinogen,peptide_protein,1,2,2,0,False,False
trypsinogen,peptide_protein,1,3,3,0,False,False
trypsinogen,peptide_protein,1,12,12,0,False,False
tryptophan,free_amino_acid,0,1,1,0,False,False
tryptophan,free_amino_acid,0,1,1,0,False,False
tryptophan,free_amino_acid,0,1,1,0,False,False
