axis,recall,precision
carboxylic_acid_metabolite,1.0,0.09663865546218488
carboxylic_acid_metabolite,1.0,0.0970464135021097
carboxylic_acid_metabolite,1.0,0.09745762711864407
carboxylic_acid_metabolite,1.0,0.09787234042553192
carboxylic_acid_metabolite,1.0,0.09829059829059829
carboxylic_acid_metabolite,1.0,0.09871244635193133
carboxylic_acid_metabolite,1.0,0.09913793103448276
carboxylic_acid_metabolite,1.0,0.09956709956709957
carboxylic_acid_metabolite,1.0,0.1
carboxylic_acid_metabolite,1.0,0.10043668122270742
carboxylic_acid_metabolite,1.0,0.10087719298245613
carboxylic_acid_metabolite,1.0,0.1013215859030837
carboxylic_acid_metabolite,1.0,0.10176991150442478
carboxylic_acid_metabolite,1.0,0.10222222222222223
carboxylic_acid_metabolite,1.0,0.10267857142857142
carboxylic_acid_metabolite,1.0,0.1031390134529148
carboxylic_acid_metabolite,1.0,0.1036036036036036
carboxylic_acid_metabolite,1.0,0.10407239819004525
carboxylic_acid_metabolite,1.0,0.10454545454545454
carboxylic_acid_metabolite,1.0,0.1050228310502283
carboxylic_acid_metabolite,1.0,0.10550458715596331
carboxylic_acid_metabolite,1.0,0.10599078341013825
carboxylic_acid_metabolite,1.0,0.10648148148148148
carboxylic_acid_metabolite,1.0,0.10697674418604651
carboxylic_acid_metabolite,1.0,0.10747663551401869
carboxylic_acid_metabolite,1.0,0.107981220657277
carboxylic_acid_metabolite,1.0,0.10849056603773585
carboxylic_acid_metabolite,1.0,0.10900473933649289
carboxylic_acid_metabolite,1.0,0.10952380952380952
carboxylic_acid_metabolite,1.0,0.11004784688995216
carboxylic_acid_metabolite,1.0,0.11057692307692307
carboxylic_acid_metabolite,1.0,0.1111111111111111
carboxylic_acid_metabolite,1.0,0.11165048543689321
carboxylic_acid_metabolite,1.0,0.11219512195121951
carboxylic_acid_metabolite,1.0,0.11274509803921569
carboxylic_acid_metabolite,1.0,0.11330049261083744
carboxylic_acid_metabolite,1.0,0.11386138613861387
carboxylic_acid_metabolite,1.0,0.11442786069651742
carboxylic_acid_metabolite,1.0,0.115
carboxylic_acid_metabolite,1.0,0.11557788944723618
carboxylic_acid_metabolite,1.0,0.11616161616161616
carboxylic_acid_metabolite,1.0,0.116751269035533
carboxylic_acid_metabolite,1.0,0.11734693877551021
carboxylic_acid_metabolite,1.0,0.11794871794871795
carboxylic_acid_metabolite,1.0,0.11855670103092783
carboxylic_acid_metabolite,1.0,0.11917098445595854
carboxylic_acid_metabolite,1.0,0.11979166666666667
carboxylic_acid_metabolite,1.0,0.12041884816753927
