source_id,title_or_short_label,condition_scope,sample_type_if_known,evidence_rows,category_primary,explicit_text_directionality_present,tabular_directionality_present,figure_directionality_present,likely_query_conditions,likely_comparator_conditions,extraction_value,confidence_in_classification,notes,recommended_for_pilot
src_liverDB_gen_quantitative_detection_of_creatinine_in_human_serum,src_liverDB_gen_quantitative_detection_of_creatini,creatinine_detection,reference_compound,3,D,no,no,no,creatinine_detection,healthy_control,low,low,,no
src_liverDB_gen_s00339_023_07116_9,src_liverDB_gen_s00339_023_07116_9,liver_cancer_unspecified,serum,16,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
src_liverDB_gen_s11468_025_02941_5,src_liverDB_gen_s11468_025_02941_5,unspecified,serum,54,D,no,no,no,,,low,low,,no
src_liverDB_gen_sers_based_quantification_of_biomarker_expression_a,src_liverDB_gen_sers_based_quantification_of_bioma,unspecified,serum,2,C,no,no,no,,,low,medium,COMPARISON,no
src_liverDB_gen_ultrasensitive_detection_of_serum_microrna_using_br,src_liverDB_gen_ultrasensitive_detection_of_serum_,miRNA_biomarker,serum,2,D,no,no,no,miRNA_biomarker,healthy_control,low,low,,no
src_liverDB_rsc_d1bm00013,src_liverDB_rsc_d1bm00013,unspecified,serum,9,D,no,no,no,,,low,low,,no
src_liverDB_springer_12072_2022_10444,src_liverDB_springer_12072_2022_10444,NAFLD_NASH,serum,5,D,no,no,no,NAFLD_NASH,healthy_control,low,low,,no
src_liverDB_springer_216_2020_3093,src_liverDB_springer_216_2020_3093,HCC,serum,1,D,no,no,no,HCC,healthy_control,low,low,,no
src_liverDB_springer_40580_2026_538,src_liverDB_springer_40580_2026_538,unspecified,serum,3,D,no,no,no,,,low,low,,no
src_miao_2024_manuscript,src_miao_2024_manuscript,,,4,B,yes,no,no,,,low,medium,TRUE_DIR,no
src_oa_followup_paper_0060_manuscript,src_oa_followup_paper_0060_manuscript,,,3,B,yes,no,no,,,low,medium,TRUE_DIR,no
src_oa_followup_paper_0187_manuscript,src_oa_followup_paper_0187_manuscript,,,16,B,yes,no,no,,,low,medium,TRUE_DIR,no
src_oa_followup_paper_0254_manuscript,src_oa_followup_paper_0254_manuscript,,,21,D,no,no,no,,,low,low,,no
src_oa_followup_paper_0328_manuscript,src_oa_followup_paper_0328_manuscript,,,22,D,no,no,no,,,low,low,,no
src_oa_phase1_paper_0003_manuscript,src_oa_phase1_paper_0003_manuscript,,,1,D,no,no,no,,,low,low,,no
src_oa_phase1_paper_0076_manuscript,src_oa_phase1_paper_0076_manuscript,,,24,D,no,no,no,,,low,low,,no
src_oa_phase1_paper_0270_manuscript,src_oa_phase1_paper_0270_manuscript,,,18,D,no,no,no,,,low,low,,no
src_oa_phase1_paper_0308_manuscript,src_oa_phase1_paper_0308_manuscript,,,18,D,no,no,no,,,low,low,,no
src_oa_text_paper_0150_manuscript,src_oa_text_paper_0150_manuscript,,,12,D,no,no,no,,,low,low,,no
src_paper_0076_phaseG_batch2B_20260409,src_paper_0076_phaseG_batch2B_20260409,,,16,D,no,no,no,,,low,low,,no
src_paper_0108_phaseG_batch2A_20260409,src_paper_0108_phaseG_batch2A_20260409,,,4,D,no,no,no,,,low,low,,no
src_paper_0254_phaseG_batch2A_20260409,src_paper_0254_phaseG_batch2A_20260409,,,9,B,yes,no,no,,,low,medium,TRUE_DIR,no
src_paper_0270_phaseG_batch2A_20260409,src_paper_0270_phaseG_batch2A_20260409,,,20,B,yes,no,no,,,low,medium,TRUE_DIR,no
src_paper_0352_phaseG_batch2A_20260409,src_paper_0352_phaseG_batch2A_20260409,,,14,D,no,no,no,,,low,low,,no
src_paper_F3_0000_phaseF3_oa_20260409,src_paper_F3_0000_phaseF3_oa_20260409,,,7,D,no,no,no,,,low,low,,no
src_paper_F3_0003_phaseF3_oa_20260409,src_paper_F3_0003_phaseF3_oa_20260409,,,4,A,yes,no,no,,,low,high,TRUE_DIR COMPARISON,no
src_paper_F3_0004_phaseF3_oa_20260409,src_paper_F3_0004_phaseF3_oa_20260409,,,25,D,no,no,no,,,low,low,,no
src_paper_F4_0000_phase_next_oa_consolidation_20260409,src_paper_F4_0000_phase_next_oa_consolidation_2026,,,2,D,no,no,no,,,low,low,,no
src_paper_H2_0001_phaseI_master_oa_20260409,src_paper_H2_0001_phaseI_master_oa_20260409,,,36,D,no,no,no,,,low,low,,no
src_paper_H2_0004_phaseI_master_oa_20260409,src_paper_H2_0004_phaseI_master_oa_20260409,,,6,D,no,no,no,,,low,low,,no
src_paper_H6_0000_phaseI_master_oa_20260409,src_paper_H6_0000_phaseI_master_oa_20260409,,,1,D,no,no,no,,,low,low,,no
src_paper_H6_0001_phaseI_master_oa_20260409,src_paper_H6_0001_phaseI_master_oa_20260409,,,60,D,no,no,no,,,low,low,,no
src_parlatan_2023_manuscript,src_parlatan_2023_manuscript,,,6,D,no,no,no,,,low,low,,no
src_plasma_ev_2026_manuscript,src_plasma_ev_2026_manuscript,,,3,D,no,no,no,,,low,low,,no
src_raman_ir_handbook_manuscript,src_raman_ir_handbook_manuscript,,,202,D,no,no,no,,,low,low,,no
src_sers_2023_scirep_manuscript,src_sers_2023_scirep_manuscript,,,15,D,no,no,no,,,low,low,,no
src_shine_2026_manuscript,src_shine_2026_manuscript,,,7,D,no,no,no,,,low,low,,no
src_sibug_torres_2024_manuscript,src_sibug_torres_2024_manuscript,,,2,D,no,no,no,,,low,low,,no
