family,base_family,K,usable,non_negative_activations,rmse,explained_variance,mean_cosine,relative_frobenius,information_retained_vs_chemistry_evidence,heldout_chemistry_top1,heldout_chemistry_top3,heldout_chemistry_retention,bootstrap_stability,bootstrap_min,n_programmes_unstable,sparsity,max_pairwise_overlap,max_single_axis_share,mean_pairwise_overlap,activation_entropy,dominance,effective_rank,compression_ratio,replicate_consistency,mutual_information_norm,eligible,ineligible_reason,objective
semi_nmf,semi_nmf,9,True,True,0.07998682132775278,0.8184068615221008,0.9285705211245918,0.3599918630899283,0.8184068615221008,0.6666666666666666,0.9333333333333333,0.8833922261472392,0.9716821593992716,0.8946246558195953,0,0.6506084840792407,0.4000875325852963,0.5460799877940614,0.19538682527862714,0.8091190334895737,0.22133333333333333,7.678180969203453,1.7777777777777777,0.9787703042827249,2.075294589926301,True,,0.8583764658992791
semi_nmf,semi_nmf,10,True,True,0.07228856265093053,0.8516793100200251,0.9442986545240389,0.3253447745119016,0.8516793100200251,0.672,0.9306666666666666,0.8904593639564172,0.9418499606320484,0.8846696005342561,0,0.577894341138852,0.8452644336543733,0.5910661124943131,0.2748570954532062,0.8387560002862977,0.22666666666666666,7.212234646731596,1.6,0.9797413003364052,2.325334159278947,True,,0.8386791168867904
semi_nmf,semi_nmf,11,True,True,0.06442188021584595,0.882204323681936,0.9570726419933742,0.2899396712819733,0.882204323681936,0.6986666666666667,0.9333333333333333,0.9257950530023068,0.9277658079849495,0.8487902554666388,0,0.5583556898847721,0.7924963633705817,0.6000699035593071,0.29474536381926536,0.8581348514281346,0.22933333333333333,8.225085463588925,1.4545454545454546,0.9729267758861441,2.464346070271064,True,,0.8589209953771543
semi_nmf,semi_nmf,12,True,True,0.055854286777992077,0.911452647813243,0.9679792114024446,0.2513800201707981,0.911452647813243,0.688,0.9493333333333334,0.9116607773839509,0.9227374226745317,0.8535013647797732,0,0.6431090399221578,0.8055528002033516,0.6805095120948659,0.21895755801303762,0.855974662792751,0.20266666666666666,9.430968819194952,1.3333333333333333,0.9671354815677854,2.575741980816085,True,,0.8412235160767269
semi_nmf,semi_nmf,13,True,True,0.04661411435257371,0.9383266651610221,0.9805183789996409,0.20979333337062644,0.9383266651610221,0.656,0.8933333333333333,0.8692579505288835,0.8897192060730457,0.8172623082670241,1,0.5488257249273065,0.834580113195134,0.6487827200863687,0.31891243069646025,0.8688839195337275,0.19466666666666665,9.135228441386918,1.2307692307692308,0.9712070903373825,2.717095445374665,False,"K = 13 exceeds the input's effective rank (12) — a rotation, not a compression",0.773395493617241
semi_nmf,semi_nmf,14,True,True,0.03496272985525993,0.9653044938769096,0.9883007518107727,0.15735464980826597,0.9653044938769096,0.6666666666666666,0.9066666666666666,0.8833922261472392,0.9186067237719534,0.8533302811592167,0,0.635724140783833,0.7678071949252006,0.66542738888738,0.235976530825459,0.8724280674627564,0.192,9.788728366236622,1.1428571428571428,0.9715691223606008,2.921635125917167,False,"K = 14 exceeds the input's effective rank (12) — a rotation, not a compression",0.811490038666728
semi_nmf,semi_nmf,15,True,True,0.021827005494529768,0.9864776904474938,0.993306643819704,0.09823548733675663,0.9864776904474938,0.712,0.8853333333333333,0.9434628975252515,0.9380140743150226,0.8761509591538413,0,0.6638134089703249,0.8733179824611896,0.7707953085615601,0.217237743256457,0.8727757653534025,0.21333333333333335,10.393418448252227,1.0666666666666667,0.9701855220560208,3.0520654457721355,False,"K = 15 exceeds the input's effective rank (12) — a rotation, not a compression",0.8849814764727177
semi_nmf,semi_nmf,16,True,True,0.004934083234086648,0.999309004051685,0.9997429099160908,0.02220653085839452,0.999309004051685,0.736,0.8906666666666667,0.9752650176665522,0.9334360745215087,0.8807409466269055,0,0.6602174667246827,0.8621485349840754,0.7729074417682493,0.2524231206928123,0.8911925242489177,0.2,11.560645641090577,1.0,0.9662032201466324,3.280393653012214,False,"K = 16 exceeds the input's effective rank (12) — a rotation, not a compression",0.9103475497088163
pca_control,pca_control,2,True,False,0.15133525019651867,0.34995599674121525,0.731201651006308,0.6811054341838512,0.34995599674121525,0.24266666666666667,0.6106666666666667,0.3215547703175951,,,-1,0.4559085615220946,0.27857761436375394,0.22867925062164848,0.27857761436375394,0.10253085926323385,0.6506666666666666,1.9248278803833934,8.0,0.9827541787198864,0.6991361699444322,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,3,True,False,0.13817781821459812,0.45807495781524454,0.7750887668354987,0.621888573530743,0.45807495781524454,0.37066666666666664,0.824,0.491166077737865,,,-1,0.44499283116057137,0.830528828550091,0.22867925062164848,0.4792824586462059,0.19374203382183425,0.528,2.8483371470846066,5.333333333333333,0.9759038589775205,1.0195901757802406,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,4,True,False,0.12669405569997655,0.5444091052828489,0.8211830740490554,0.5702042961173273,0.5444091052828489,0.6346666666666667,0.8426666666666667,0.8409893992921719,,,-1,0.43025559131963587,0.830528828550091,0.24381134310161087,0.5285481487336877,0.23394799476332187,0.32,3.736142827975834,4.0,0.9693673351326096,1.3017751201658527,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,5,True,False,0.11627796630590484,0.6162420258779295,0.8564943343420077,0.5233252307308136,0.6162420258779295,0.6506666666666666,0.8693333333333333,0.8621908127197054,,,-1,0.41072283423726813,0.830528828550091,0.24381134310161087,0.5088384454493428,0.29550224432331457,0.296,4.592572116340999,3.2,0.9687112592240723,1.5793324232415726,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,6,True,False,0.10695286427232766,0.6753260852200966,0.8815716616507343,0.4813563063649396,0.6753260852200966,0.656,0.904,0.8692579505288835,,,-1,0.39934695216333777,0.830528828550091,0.24381134310161087,0.5112782319103573,0.3151641818077441,0.22933333333333333,5.4073465857358265,2.6666666666666665,0.9679523198824849,1.8494059740137487,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,7,True,False,0.09755875535971757,0.7298561655086537,0.8975239086809179,0.4390768069001093,0.7298561655086537,0.6373333333333333,0.912,0.8445229681967608,,,-1,0.39516654101587395,0.830528828550091,0.24381134310161087,0.5401155630755584,0.37128578675219237,0.22133333333333333,6.217228482041191,2.2857142857142856,0.9653726662162033,2.127560105145149,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,8,True,False,0.08856836518952695,0.7773514787910092,0.9149556213183575,0.39861430003275167,0.7773514787910092,0.648,0.9226666666666666,0.8586572438151167,,,-1,0.37952804398280743,0.830528828550091,0.24381134310161087,0.5410861599152608,0.3972452778046695,0.21866666666666668,6.998229981480256,2.0,0.9627618671836086,2.3913215281148816,False,"signed activations — control only, never a candidate (P-02)",
