path,phase,role,size_bytes,size_mb,modified,kind
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/report/GAIRAv3_Pilot2_target_validation_v1_report.pdf,autoresearch::pilot2_target_validation_v1,autoresearch_report,1254638,1.255,2026-04-02 15:38,pdf
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_axis_entropy.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,79,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_level_metrics.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,737,0.001,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_mean_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,347,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_mean_bsv_delta_vs_cohort.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,361,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_neighborhood_entropy.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,86,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_neighborhood_family_composition.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,545,0.001,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_top1_dominance.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,80,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/class_topk_neighborhood_composition.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,416,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/cluster_family_fingerprint.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,2532,0.003,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/cluster_mean_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,902,0.001,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/cluster_mean_delta_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,953,0.001,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/cluster_metrics.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,680,0.001,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/cluster_selection_summary.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,382,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/cross_class_overlap.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,1465,0.001,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/pairwise_delta_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,440,0.0,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/pca_coordinates_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,8000,0.008,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/pca_coordinates_delta_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,8122,0.008,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/pca_coordinates_spectral.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,7506,0.008,2026-04-02 15:37,csv
